DATE,RAINFALL_Davao City,TMAX_Davao City,TMIN_Davao City,RAINFALL_Surigao,TMAX_Surigao,TMIN_Surigao,RAINFALL_Zamboanga,TMAX_Zamboanga,TMIN_Zamboanga,RAINFALL_Dipolog,TMAX_Dipolog,TMIN_Dipolog,RAINFALL_Butuan,TMAX_Butuan,TMIN_Butuan,RAINFALL_Malaybalay,TMAX_Malaybalay,TMIN_Malaybalay,RAINFALL_General Santos,TMAX_General Santos,TMIN_General Santos,RAINFALL_Cotabato,TMAX_Cotabato,TMIN_Cotabato
2022-01-01,0.0,32.1,24.4,140.6,28.6,23.0,0.0,34.6,24.5,4.3,27.6,24.2,26.8,30.6,23.5,0.0,29.6,19.0,0.0,31.2,25.0,0.0,31.8,23.6
2022-01-02,0.0,30.8,25.0,42.6,27.4,23.4,0.0,35.1,24.2,4.9,27.8,24.6,1.8,27.8,23.0,0.0,28.0,19.4,0.0,31.0,24.2,0.0,32.2,23.7
2022-01-03,3.7,32.2,24.6,5.0,28.2,24.4,0.0,36.0,23.8,0.3,29.8,24.6,1.0,30.2,23.5,1.2,29.1,18.0,3.6,31.1,23.0,0.0,33.0,22.2
2022-01-04,0.0,32.4,25.2,5.8,29.8,23.6,0.0,34.8,24.2,0.9,31.6,25.4,1.0,30.9,23.4,0.0,31.4,19.4,0.0,31.4,23.4,0.0,34.8,22.8
2022-01-05,0.0,32.9,25.6,64.5,28.4,23.7,0.0,35.2,23.0,2.0,30.6,25.0,17.0,30.1,23.0,0.0,32.0,18.8,0.0,30.7,23.2,0.0,33.7,23.5
2022-01-06,0.0,33.6,25.6,0.4,29.5,23.8,0.0,33.1,23.2,0.0,31.4,24.8,0.0,31.2,23.0,0.0,32.6,19.0,0.0,33.2,23.8,0.0,34.1,23.7
2022-01-07,0.0,33.3,24.4,0.0,29.6,22.8,0.0,34.5,23.0,0.0,32.0,22.4,0.0,30.8,22.7,0.0,32.5,19.5,0.0,32.5,22.8,0.0,33.4,23.3
2022-01-08,0.0,33.9,25.0,6.2,29.4,23.6,0.0,33.5,22.3,0.0,31.2,23.4,0.0,31.2,22.6,0.0,34.0,18.0,3.8,32.5,23.7,0.0,33.4,23.1
2022-01-09,0.0,33.7,25.0,0.4,29.0,24.5,0.0,35.0,23.0,0.2,32.2,23.4,0.0,31.0,23.4,0.2,32.0,17.5,0.0,32.1,22.7,0.0,34.6,22.6
2022-01-10,0.0,33.1,25.1,0.0,29.0,24.5,0.0,34.5,23.4,1.0,32.9,22.7,0.0,33.0,23.2,0.0,33.0,17.5,0.0,31.0,22.6,0.0,35.0,23.8
