RUN_TIME,FLOW_MIN,FLOW_VIS,FLOW_LUZ
12/31/2021,0,0,0
1/1/2022,0,-44,44
1/2/2022,0,-44,44
1/3/2022,0,0,0
1/4/2022,0,55.18,-55.18
1/5/2022,0,66.61,-66.61
1/6/2022,0,148.06,-148.06
1/7/2022,0,68.22,-68.22
1/8/2022,0,79.49,-79.49
1/9/2022,0,71.07,-71.07
1/10/2022,0,0,0
1/11/2022,0,-1188,1188
1/12/2022,0,-2222,2222
1/13/2022,0,-1474,1474
1/14/2022,0,-418,418
1/15/2022,0,-528,528
1/16/2022,0,-176,176
1/17/2022,0,5828.09,-5828.09
1/18/2022,0,56821.9,-56821.9
1/19/2022,0,52720.32,-52720.32
1/20/2022,0,64257.2,-64257.2
1/21/2022,0,84424.9,-84424.9
1/22/2022,0,56391.92,-56391.92
1/23/2022,0,80690.04,-80690.04
1/24/2022,0,74386.4,-74386.4
1/25/2022,0,91198.76,-91198.76
1/26/2022,0,53472.5,-53472.5
1/27/2022,0,52103.21,-52103.21
1/28/2022,0,78374.43,-78374.43
1/29/2022,0,64916.53,-64916.53
1/30/2022,0,67046.34,-67046.34
1/31/2022,0,68948.99,-68948.99
2/1/2022,0,67658.02,-67658.02
2/2/2022,0,67491.1,-67491.1
2/3/2022,0,69929.83,-69929.83
2/4/2022,0,67743.23,-67743.23
2/5/2022,0,74655.3,-74655.3
2/6/2022,0,99610,-99610
2/7/2022,0,92082.96,-92082.96
2/8/2022,0,84553.84,-84553.84
2/9/2022,0,106110.1,-106110.1
2/10/2022,0,75071.21,-75071.21
2/11/2022,0,87362.12,-87362.12
2/12/2022,0,51978.3,-51978.3
2/13/2022,0,82531.66,-82531.66
2/14/2022,0,69432.59,-69432.59
2/15/2022,0,46644.73,-46644.73
2/16/2022,0,56975.96,-56975.96
2/17/2022,0,23390.51,-23390.51
2/18/2022,0,37829.2,-37829.2
2/19/2022,0,28457.19,-28457.19
2/20/2022,0,22692.33,-22692.33
2/21/2022,0,6580.63,-6580.63
2/22/2022,0,5951.12,-5951.12
2/23/2022,0,17516.13,-17516.13
2/24/2022,0,32479.79,-32479.79
2/25/2022,0,9466.7,-9466.7
2/26/2022,0,28445.36,-28445.36
2/27/2022,0,32932.25,-32932.25
2/28/2022,0,2676.85,-2676.85
3/1/2022,0,-11630.29,11630.29
3/2/2022,0,-20154.11,20154.11
3/3/2022,0,19561.05,-19561.05
3/4/2022,0,32812.39,-32812.39
3/5/2022,0,36499.87,-36499.87
3/6/2022,0,89783.87,-89783.87
3/7/2022,0,68514.33,-68514.33
3/8/2022,0,63430.03,-63430.03
3/9/2022,0,65979.57,-65979.57
3/10/2022,0,60300.37,-60300.37
3/11/2022,0,65667.93,-65667.93
3/12/2022,0,65881.35,-65881.35
3/13/2022,0,65070.19,-65070.19
3/14/2022,0,43470.78,-43470.78
3/15/2022,0,36684.74,-36684.74
3/16/2022,0,52012.33,-52012.33
3/17/2022,0,25925.84,-25925.84
3/18/2022,0,37758.27,-37758.27
3/19/2022,0,-2210.65,2210.65
3/20/2022,0,14259.8,-14259.8
3/21/2022,0,1027.3,-1027.3
3/22/2022,0,-4286,4286
3/23/2022,0,-12862.71,12862.71
3/24/2022,0,-25897.4,25897.4
3/25/2022,0,-27916.79,27916.79
3/26/2022,0,-744.18,744.18
3/27/2022,0,10516.2,-10516.2
3/28/2022,0,-9058.58,9058.58
3/29/2022,0,-8999.97,8999.97
3/30/2022,0,-12223.25,12223.25
3/31/2022,0,-19382.94,19382.94
4/1/2022,0,895.28,-895.28
4/2/2022,0,8711.48,-8711.48
4/3/2022,0,48484.58,-48484.58
4/4/2022,0,9071.3,-9071.3
4/5/2022,0,5037.95,-5037.95
4/6/2022,0,1770.04,-1770.04
4/7/2022,0,28990.18,-28990.18
4/8/2022,0,45260.79,-45260.79
4/9/2022,0,68311.22,-68311.22
4/10/2022,0,90055.85,-90055.85
4/11/2022,0,78701.35,-78701.35
4/12/2022,0,84673.42,-84673.42
4/13/2022,0,90597.32,-90597.32
4/14/2022,0,95356.68,-95356.68
4/15/2022,0,108373.42,-108373.42
4/16/2022,0,106795.72,-106795.72
4/17/2022,0,100977.68,-100977.68
4/18/2022,0,64793.29,-64793.29
4/19/2022,0,48587.24,-48587.24
4/20/2022,0,48729.42,-48729.42
4/21/2022,0,37018.56,-37018.56
4/22/2022,0,47028.04,-47028.04
4/23/2022,0,33958.78,-33958.78
4/24/2022,0,59654.62,-59654.62
4/25/2022,0,24102.88,-24102.88
4/26/2022,0,16624.52,-16624.52
4/27/2022,0,25386.42,-25386.42
4/28/2022,0,51774.3,-51774.3
4/29/2022,0,75414.92,-75414.92
4/30/2022,0,43488.32,-43488.32
5/1/2022,0,62888.63,-62888.63
5/2/2022,0,19543.34,-19543.34
5/3/2022,0,39967.79,-39967.79
5/4/2022,0,27900.63,-27900.63
5/5/2022,0,23791.43,-23791.43
5/6/2022,0,34546.55,-34546.55
5/7/2022,0,34187.05,-34187.05
5/8/2022,0,68197.57,-68197.57
5/9/2022,0,49043.1,-49043.1
5/10/2022,0,38506.84,-38506.84
5/11/2022,0,30679.58,-30679.58
5/12/2022,0,25440.92,-25440.92
5/13/2022,0,24466.3,-24466.3
5/14/2022,0,38854.01,-38854.01
5/15/2022,0,71581.69,-71581.69
5/16/2022,0,31689.51,-31689.51
5/17/2022,0,20586.09,-20586.09
5/18/2022,0,10231.85,-10231.85
5/19/2022,0,4376.16,-4376.16
5/20/2022,0,-6676.59,6676.59
5/21/2022,0,23315.58,-23315.58
5/22/2022,0,44218.05,-44218.05
5/23/2022,0,18102.99,-18102.99
5/24/2022,0,11006.63,-11006.63
5/25/2022,0,-6445.68,6445.68
5/26/2022,0,-24194.32,24194.32
5/27/2022,0,-6835.79,6835.79
5/28/2022,0,11398.67,-11398.67
5/29/2022,0,9187.07,-9187.07
5/30/2022,0,15551.65,-15551.65
5/31/2022,0,15778.54,-15778.54
6/1/2022,0,-3964.96,3964.96
6/2/2022,0,-17453.76,17453.76
6/3/2022,0,42614.56,-42614.56
6/4/2022,0,82350.58,-82350.58
6/5/2022,0,104085.81,-104085.81
6/6/2022,0,60426.48,-60426.48
6/7/2022,0,34543.26,-34543.26
6/8/2022,0,45853.49,-45853.49
6/9/2022,0,56863.92,-56863.92
6/10/2022,0,83224.21,-83224.21
6/11/2022,0,109783.6,-109783.6
6/12/2022,0,103660.57,-103660.57
6/13/2022,0,42291.39,-42291.39
6/14/2022,0,36537.18,-36537.18
6/15/2022,0,43550.94,-43550.94
6/16/2022,0,49639.59,-49639.59
6/17/2022,0,83134.43,-83134.43
6/18/2022,0,95374.99,-95374.99
6/19/2022,0,109912.9,-109912.9
6/20/2022,0,79891.26,-79891.26
6/21/2022,0,105754.75,-105754.75
6/22/2022,0,110184.46,-110184.46
6/23/2022,0,92067.51,-92067.51
6/24/2022,0,67147.48,-67147.48
6/25/2022,0,59362.48,-59362.48
6/26/2022,0,87898.19,-87898.19
6/27/2022,0,52063.92,-52063.92
6/28/2022,0,53899.17,-53899.17
6/29/2022,0,39134.55,-39134.55
6/30/2022,0,39364.61,-39364.61
7/1/2022,0,22523.13,-22523.13
7/2/2022,0,16629.38,-16629.38
7/3/2022,0,82687.2,-82687.2
7/4/2022,0,71978.8,-71978.8
7/5/2022,0,80509.6,-80509.6
7/6/2022,0,61921,-61921
7/7/2022,0,-4535.97,4535.97
7/8/2022,0,-8908.19,8908.19
7/9/2022,0,12322.08,-12322.08
7/10/2022,0,30011.71,-30011.71
7/11/2022,0,-6413.72,6413.72
7/12/2022,0,-21022.23,21022.23
7/13/2022,0,-46456.64,46456.64
7/14/2022,0,-20760.14,20760.14
7/15/2022,0,-7278.41,7278.41
7/16/2022,0,-22245.6,22245.6
7/17/2022,0,10333.61,-10333.61
7/18/2022,0,-8333.66,8333.66
7/19/2022,0,-12581.23,12581.23
7/20/2022,0,1638.68,-1638.68
7/21/2022,0,-9598.75,9598.75
7/22/2022,0,-26112.76,26112.76
7/23/2022,0,-550.12,550.12
7/24/2022,0,34344.88,-34344.88
7/25/2022,0,16492.1,-16492.1
7/26/2022,0,4123.02,-4123.02
7/27/2022,0,13048.17,-13048.17
7/28/2022,0,24888.85,-24888.85
7/29/2022,0,4644.54,-4644.54
7/30/2022,0,13148.28,-13148.28
7/31/2022,0,45471.51,-45471.51
8/1/2022,0,2373.86,-2373.86
8/2/2022,0,7614.74,-7614.74
8/3/2022,0,10706.46,-10706.46
8/4/2022,0,21892.64,-21892.64
8/5/2022,0,16498.88,-16498.88
8/6/2022,0,25783,-25783
8/7/2022,0,48847.93,-48847.93
8/8/2022,0,5800.81,-5800.81
8/9/2022,0,19907.08,-19907.08
8/10/2022,0,17193.88,-17193.88
8/11/2022,0,11339,-11339
8/12/2022,0,12473.75,-12473.75
8/13/2022,0,23519.42,-23519.42
8/14/2022,0,39267.48,-39267.48
8/15/2022,0,-960.8,960.8
8/16/2022,0,-28777.28,28777.28
8/17/2022,0,-30751.36,30751.36
8/18/2022,0,-26932.2,26932.2
8/19/2022,0,-25413.39,25413.39
8/20/2022,0,34929.87,-34929.87
8/21/2022,0,37092.1,-37092.1
8/22/2022,0,22527.6,-22527.6
8/23/2022,0,28415.85,-28415.85
8/24/2022,0,23829.64,-23829.64
8/25/2022,0,83049.74,-83049.74
8/26/2022,0,76505.99,-76505.99
8/27/2022,0,55808.01,-55808.01
8/28/2022,0,83601.98,-83601.98
8/29/2022,0,55955.02,-55955.02
8/30/2022,0,75014.88,-75014.88
8/31/2022,0,43230.14,-43230.14
9/1/2022,0,48769.84,-48769.84
9/2/2022,0,36768.46,-36768.46
9/3/2022,0,20334.98,-20334.98
9/4/2022,0,16725.65,-16725.65
9/5/2022,0,33967.81,-33967.81
9/6/2022,0,58845.94,-58845.94
9/7/2022,0,74210.58,-74210.58
9/8/2022,0,63554.97,-63554.97
9/9/2022,0,52460.13,-52460.13
9/10/2022,0,57300.29,-57300.29
9/11/2022,0,108431.72,-108431.72
9/12/2022,0,93348.12,-93348.12
9/13/2022,0,9527.09,-9527.09
9/14/2022,0,-10052.14,10052.14
9/15/2022,0,-7005.13,7005.13
9/16/2022,0,18149.04,-18149.04
9/17/2022,0,29803.75,-29803.75
9/18/2022,0,62919.61,-62919.61
9/19/2022,0,48129.56,-48129.56
9/20/2022,0,29116.91,-29116.91
9/21/2022,0,0,0
9/22/2022,0,0,0
9/23/2022,0,0,0
9/24/2022,0,0,0
9/25/2022,0,0,0
9/26/2022,0,0,0
9/27/2022,0,3215.08,-3215.08
9/28/2022,0,74089.05,-74089.05
9/29/2022,0,59372.98,-59372.98
9/30/2022,0,38691.03,-38691.03
10/1/2022,0,35205.55,-35205.55
10/2/2022,0,60196.97,-60196.97
10/3/2022,0,9762.05,-9762.05
10/4/2022,0,36619.87,-36619.87
10/5/2022,0,90200.73,-90200.73
10/6/2022,0,68813.11,-68813.11
10/7/2022,0,68278.38,-68278.38
10/8/2022,0,82110.3,-82110.3
10/9/2022,0,87841.89,-87841.89
10/10/2022,0,36240.29,-36240.29
10/11/2022,0,47427.7,-47427.7
10/12/2022,0,37085.39,-37085.39
10/13/2022,0,48439.63,-48439.63
10/14/2022,0,59875.67,-59875.67
10/15/2022,0,-24859.72,24859.72
10/16/2022,0,2268.93,-2268.93
10/17/2022,0,11700.77,-11700.77
10/18/2022,0,32938.07,-32938.07
10/19/2022,0,26582.78,-26582.78
10/20/2022,0,24630.99,-24630.99
10/21/2022,0,34678.16,-34678.16
10/22/2022,0,33786.65,-33786.65
10/23/2022,0,55026.75,-55026.75
10/24/2022,0,15884.32,-15884.32
10/25/2022,0,-12827.06,12827.06
10/26/2022,0,10499.26,-10499.26
10/27/2022,0,18547.59,-18547.59
10/28/2022,0,19958.92,-19958.92
10/29/2022,0,16064.42,-16064.42
10/30/2022,0,38451,-38451
10/31/2022,0,25558.83,-25558.83
11/1/2022,0,9423.25,-9423.25
11/2/2022,0,-24377.34,24377.34
11/3/2022,0,-22653.46,22653.46
11/4/2022,0,-21201.94,21201.94
11/5/2022,0,-27715.39,27715.39
11/6/2022,0,-6434.51,6434.51
11/7/2022,0,-3503.64,3503.64
11/8/2022,0,2988.7,-2988.7
11/9/2022,0,22544.99,-22544.99
11/10/2022,0,25398.13,-25398.13
11/11/2022,0,23725.35,-23725.35
11/12/2022,0,29952.86,-29952.86
11/13/2022,0,50430.7,-50430.7
11/14/2022,0,32896.07,-32896.07
11/15/2022,0,8756.96,-8756.96
11/16/2022,0,20324.79,-20324.79
11/17/2022,0,24936.54,-24936.54
11/18/2022,0,41427,-41427
11/19/2022,0,34788.18,-34788.18
11/20/2022,0,46107.88,-46107.88
11/21/2022,0,44107.67,-44107.67
11/22/2022,0,47812.55,-47812.55
11/23/2022,0,67819.42,-67819.42
11/24/2022,0,47880.76,-47880.76
11/25/2022,0,31578.76,-31578.76
11/26/2022,0,61969.07,-61969.07
11/27/2022,0,108849.4,-108849.4
11/28/2022,0,48114.89,-48114.89
11/29/2022,0,55677.52,-55677.52
11/30/2022,0,57306.05,-57306.05
12/1/2022,0,68166.37,-68166.37
12/2/2022,0,68430.95,-68430.95
12/3/2022,0,50734.42,-50734.42
12/4/2022,0,64140.97,-64140.97
12/5/2022,0,48681.88,-48681.88
12/6/2022,0,62896.5,-62896.5
12/7/2022,0,66693.38,-66693.38
12/8/2022,0,77414.8,-77414.8
12/9/2022,0,76474.19,-76474.19
12/10/2022,0,54178.51,-54178.51
12/11/2022,0,153.7,-153.7
12/12/2022,0,43543.57,-43543.57
12/13/2022,0,66490.54,-66490.54
12/14/2022,0,43404.45,-43404.45
12/15/2022,0,43739.87,-43739.87
12/16/2022,0,58560.3,-58560.3
12/17/2022,0,56568.05,-56568.05
12/18/2022,0,89678.46,-89678.46
12/19/2022,0,56819.68,-56819.68
12/20/2022,0,26679.62,-26679.62
12/21/2022,0,45239.13,-45239.13
12/22/2022,0,55819.45,-55819.45
12/23/2022,0,55184.24,-55184.24
12/24/2022,0,41323.65,-41323.65
12/25/2022,0,71925.35,-71925.35
12/26/2022,0,35193.46,-35193.46
12/27/2022,0,22731.74,-22731.74
12/28/2022,0,37701.1,-37701.1
12/29/2022,0,44548.94,-44548.94
12/30/2022,0,56542.48,-56542.48
12/31/2022,0,34332.57,-34332.57
1/1/2023,0,26874.38,-26874.38
1/2/2023,0,40062.76,-40062.76
1/3/2023,0,42537.85,-42537.85
1/4/2023,0,38656.62,-38656.62
1/5/2023,0,20323.32,-20323.32
1/6/2023,0,32427.95,-32427.95
1/7/2023,0,28926.27,-28926.27
1/8/2023,0,47292.04,-47292.04
1/9/2023,0,32354.2,-32354.2
1/10/2023,0,33997.57,-33997.57
1/11/2023,0,25390.59,-25390.59
1/12/2023,0,33593.22,-33593.22
1/13/2023,0,53753.82,-53753.82
1/14/2023,0,99273.53,-99273.53
1/15/2023,0,81322.6,-81322.6
1/16/2023,0,41374.96,-41374.96
1/17/2023,0,28743.52,-28743.52
1/18/2023,0,29154.09,-29154.09
1/19/2023,0,31056.83,-31056.83
1/20/2023,0,35436.92,-35436.92
1/21/2023,0,53532.46,-53532.46
1/22/2023,0,88470.63,-88470.63
1/23/2023,0,44125.42,-44125.42
1/24/2023,0,48873.75,-48873.75
1/25/2023,0,47859.12,-47859.12
1/26/2023,0,37696.51,-37696.51
1/27/2023,0,21393.86,-21393.86
1/28/2023,0,21621.95,-21621.95
1/29/2023,0,44369.08,-44369.08
1/30/2023,0,13149.94,-13149.94
1/31/2023,0,17230.19,-17230.19
2/1/2023,0,24145.84,-24145.84
2/2/2023,0,14881.28,-14881.28
2/3/2023,0,13889.12,-13889.12
2/4/2023,0,40600.93,-40600.93
2/5/2023,0,70930.99,-70930.99
2/6/2023,0,39362.5,-39362.5
2/7/2023,0,41382.77,-41382.77
2/8/2023,0,68130.71,-68130.71
2/9/2023,0,36588.98,-36588.98
