YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,27,22.9
2021,1,2,2.4,29.1,23.7
2021,1,3,16,28.7,23.8
2021,1,4,1.2,30.2,24
2021,1,5,0.4,30.3,22.8
2021,1,6,0.8,31.3,24.1
2021,1,7,0,30.4,24.1
2021,1,8,0,29.5,23.9
2021,1,9,0,27.9,23
2021,1,10,0,26.5,22.3
2021,1,11,0,28.5,23.4
2021,1,12,0,27.3,22
2021,1,13,0,28.5,23.9
2021,1,14,0,30.3,23.8
2021,1,15,0,29.4,23.5
2021,1,16,0,30,24
2021,1,17,5.8,28.5,23.8
2021,1,18,0,28.7,24
2021,1,19,1,28.4,23.5
2021,1,20,4.4,28,23.6
2021,1,21,4.4,32.5,24
2021,1,22,3.2,30.9,23
2021,1,23,0,31.8,22.9
2021,1,24,0,32.2,24
2021,1,25,0,32.3,23.1
2021,1,26,0.8,32,24.1
2021,1,27,11.2,30.5,22.5
2021,1,28,0,29.5,23.5
2021,1,29,0,29.4,23.5
2021,1,30,0,28,21.8
2021,1,31,0,28.2,21.4
2021,2,1,0,29.8,23.1
2021,2,2,0,30.5,23
2021,2,3,0,30,23.5
2021,2,4,0.8,29.1,23
2021,2,5,-1,28.9,23.5
2021,2,6,0,30.5,23.6
2021,2,7,0,31.2,24.1
2021,2,8,0.1,31.3,24.1
2021,2,9,12.6,29.3,22.5
2021,2,10,2.8,28,22.5
2021,2,11,0,30.2,22.2
2021,2,12,1.2,33.4,23.1
2021,2,13,4,28.1,22.5
2021,2,14,-1,31.5,21.5
2021,2,15,0,30,22.6
2021,2,16,0,30.7,21
2021,2,17,0,32.4,22.2
2021,2,18,1.6,31,21.6
2021,2,19,0,27.4,20.8
2021,2,20,0,29,21.6
2021,2,21,3.6,28.9,22.2
2021,2,22,6.6,29,23
2021,2,23,1.8,29.2,22.6
2021,2,24,0,30.8,23.4
2021,2,25,0,34.3,20.5
2021,2,26,0,33.3,22
2021,2,27,0,33.2,24.2
2021,2,28,0,31.8,24.1
2021,3,1,0,33.4,21.4
2021,3,2,0,33,24
2021,3,3,0,31.4,24.6
2021,3,4,0,31.6,23.7
2021,3,5,0,33.7,23.5
2021,3,6,0,33,23.6
2021,3,7,0,32.4,23.7
2021,3,8,4.4,30.7,24.2
2021,3,9,5,28.4,22
2021,3,10,-1,32,23.7
2021,3,11,0.8,32,24
2021,3,12,18.2,30.6,22.6
2021,3,13,3.6,28.3,22.3
2021,3,14,1.6,29.5,23.8
2021,3,15,1.4,30.5,23.1
2021,3,16,0,32.4,23.3
2021,3,17,0,33.6,23.5
2021,3,18,0,34.2,23.5
2021,3,19,0,34,23
2021,3,20,7.8,34.1,25
2021,3,21,0,34.2,25.2
2021,3,22,0.4,32.6,24.7
2021,3,23,0,32.5,23.2
2021,3,24,0,31.8,24.7
2021,3,25,0,34,25
2021,3,26,-1,33.1,24.6
2021,3,27,0,34,24
2021,3,28,0,33.6,22.5
2021,3,29,0,34.2,22.7
2021,3,30,0,34.8,23
2021,3,31,0,34.9,25.2
2021,4,1,0,35,21.9
2021,4,2,0,33.9,21.5
2021,4,3,0,34,22
2021,4,4,0.4,32.5,22.1
2021,4,5,0,33.2,25.5
2021,4,6,0,33.5,23.6
2021,4,7,0,33.1,21.6
2021,4,8,0,33,22.5
2021,4,9,0,34.8,25
2021,4,10,0,32.4,22.6
2021,4,11,0,33.4,22.4
2021,4,12,0.8,31.2,22
2021,4,13,0.4,34.3,24.1
2021,4,14,0,34.6,25.6
2021,4,15,7.4,31.2,22.5
2021,4,16,0,34.3,22
2021,4,17,0,34.3,22.5
2021,4,18,0,34.2,23
2021,4,19,0,33.2,24.5
2021,4,20,0,32.6,25
2021,4,21,0,33,24.7
2021,4,22,0,34.3,24.5
2021,4,23,0,34.8,23.5
2021,4,24,0,34.8,22.2
2021,4,25,0,33,23
2021,4,26,-1,32.8,22
2021,4,27,2.4,29.8,20.6
2021,4,28,0,32.5,22.4
2021,4,29,0,34,23.5
2021,4,30,0,35.2,21.6
2021,5,1,0,35.7,22
2021,5,2,0,34.8,23.4
2021,5,3,-1,33.5,26.5
2021,5,4,2.4,32,26.2
2021,5,5,0,34.8,26.4
2021,5,6,4.3,35,25.6
2021,5,7,0,34,25.3
2021,5,8,2.2,35,26.5
2021,5,9,0,35.4,26
2021,5,10,0,34.2,25.5
2021,5,11,0.2,35.4,25.5
2021,5,12,0,35.2,26.1
2021,5,13,0,34.6,25.8
2021,5,14,0,35.3,26
2021,5,15,0,36.8,26.2
2021,5,16,0,34.8,26.5
2021,5,17,0,35.8,26.5
2021,5,18,-1,33.2,25
2021,5,19,0,35.8,23
2021,5,20,4,35.2,24.5
2021,5,21,3.4,35.2,24.5
2021,5,22,0,34.5,25
2021,5,23,15.6,35,23
2021,5,24,0.7,34,24.1
2021,5,25,17.4,34.8,23.5
2021,5,26,0,35.8,23.4
2021,5,27,0,36,25.1
2021,5,28,2.2,36,25.4
2021,5,29,0,36.2,26.4
2021,5,30,0,35.6,25
2021,5,31,4.2,36.5,25.5
2021,6,1,13.5,36.5,25.2
2021,6,2,55.9,29,25
2021,6,3,-1,33.1,24.5
2021,6,4,0.4,35.2,24.3
2021,6,5,0,34.2,24.4
2021,6,6,0.2,32.5,24.5
2021,6,7,0.2,32,24.5
2021,6,8,3.6,29.2,24.5
2021,6,9,47.6,31,22.2
2021,6,10,2,33.4,23.4
2021,6,11,-1,31.4,25
2021,6,12,0.2,33.4,23.5
2021,6,13,11.8,30.7,23.8
2021,6,14,0.4,32,23.4
2021,6,15,0,33.8,23.3
2021,6,16,0,34.8,24.7
2021,6,17,0,35.7,24
2021,6,18,0,34.2,24.5
2021,6,19,0,34.8,24.8
2021,6,20,0.4,32.8,24.5
2021,6,21,0,32,25.7
2021,6,22,1.6,33.4,23.5
2021,6,23,0,33.6,25
2021,6,24,0.2,34,25
2021,6,25,-1,32.3,23.6
2021,6,26,0,32,24.5
2021,6,27,9,31.8,24.2
2021,6,28,17.2,34.1,23
2021,6,29,0,34.3,24.7
2021,6,30,10.4,34.6,24.7
2021,7,1,-1,34.4,24.3
2021,7,2,34.2,31.9,23.8
2021,7,3,39.2,28.6,24
2021,7,4,1.6,32.8,24.5
