YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,29.2,22.3
2021,1,2,0,30.4,23
2021,1,3,0,31.5,24.4
2021,1,4,0,31.5,23.4
2021,1,5,0,32,23.5
2021,1,6,0,31.5,22.2
2021,1,7,0,32,20.5
2021,1,8,0,30.7,21
2021,1,9,0,29.7,20
2021,1,10,0,28.8,21.5
2021,1,11,0,29.4,21.6
2021,1,12,0,29,21.8
2021,1,13,0,29.5,22
2021,1,14,0,31.3,23
2021,1,15,0,32,23
2021,1,16,0,31.3,23.5
2021,1,17,0,31.4,23.2
2021,1,18,0,30,23.5
2021,1,19,0,30,23.5
2021,1,20,21,31,23.4
2021,1,21,4.8,30,23.5
2021,1,22,3.6,32,23.7
2021,1,23,11.4,29.6,22.7
2021,1,24,0,30.8,23.3
2021,1,25,0,32,23
2021,1,26,6,32.3,23
2021,1,27,0,30.6,23.4
2021,1,28,0,30,22
2021,1,29,0,28.5,21.5
2021,1,30,0,28.2,20
2021,1,31,0,29.7,20.2
2021,2,1,0,29.2,20.7
2021,2,2,0,30.5,20.2
2021,2,3,0,30.7,22.6
2021,2,4,0,30.4,22
2021,2,5,0,31,23
2021,2,6,0,31.5,22.7
2021,2,7,0,31.5,22.2
2021,2,8,0,30.6,22.4
2021,2,9,0,28.7,22.2
2021,2,10,2,29.4,21.3
2021,2,11,0,31.2,22.9
2021,2,12,0,31.8,22.6
2021,2,13,0,29.3,22.6
2021,2,14,0,31.1,22.2
2021,2,15,0,28.5,22.2
2021,2,16,0,30.7,21.8
2021,2,17,0,30.8,20.7
2021,2,18,0,31.4,20.7
2021,2,19,0,28,19
2021,2,20,0,29.4,17.4
2021,2,21,0,30.5,21.5
2021,2,22,-1,30,23.5
2021,2,23,1.4,30.4,23.6
2021,2,24,0.2,31.8,22.5
2021,2,25,0,32,21.2
2021,2,26,0,31.8,21.8
2021,2,27,0,32.2,24
2021,2,28,0,32.1,24.9
2021,3,1,0,31.5,23
2021,3,2,6.6,33,22.1
2021,3,3,0.4,31,21.2
2021,3,4,0,31.5,23
2021,3,5,0,31.7,22.4
2021,3,6,0,31.3,21.8
2021,3,7,0,31.3,22.6
2021,3,8,0,32.1,23.3
2021,3,9,0,31.1,22
2021,3,10,0,31.6,22.1
2021,3,11,0,31.2,22
2021,3,12,0,33,23.8
2021,3,13,0,31.2,23.3
2021,3,14,0,32.5,22.7
2021,3,15,0.2,32.6,24.4
2021,3,16,0,33.2,24.9
2021,3,17,0,33.2,24.8
2021,3,18,0.3,33.8,24.9
2021,3,19,-1,33,23.5
2021,3,20,0,32.7,24
2021,3,21,0,32.8,24.2
2021,3,22,0,31.4,23.7
2021,3,23,0,31.2,24.2
2021,3,24,0,32.2,23.5
2021,3,25,0,32.6,23.9
2021,3,26,0,33.2,24.7
2021,3,27,0,33.5,22.8
2021,3,28,0,34,22.8
2021,3,29,0,32.8,21.5
2021,3,30,0,34.6,23.3
2021,3,31,0,33.7,23
2021,4,1,0,33.6,21.8
2021,4,2,0,33.2,22.2
2021,4,3,0,33.5,22.6
2021,4,4,0,33.5,24.5
2021,4,5,-1,33.5,24.5
2021,4,6,0,33.7,23.2
2021,4,7,0,33.4,22.8
2021,4,8,0,33,23.2
2021,4,9,0,32.7,24
2021,4,10,0,33.8,23.8
2021,4,11,0,33.7,23.1
2021,4,12,0,36,23
2021,4,13,0.8,35.5,24.5
2021,4,14,0,36.3,24.6
2021,4,15,0,34.7,24.7
2021,4,16,0,34.3,24.3
2021,4,17,0,35.1,24.1
2021,4,18,0,35.5,25.3
2021,4,19,0,35.7,23.4
2021,4,20,0,35.5,24.5
2021,4,21,0,33.5,25.5
2021,4,22,0,34.4,24.8
2021,4,23,0,33.8,22.2
2021,4,24,0,34.9,22.8
2021,4,25,0,35.1,24.4
2021,4,26,0,33,24.5
2021,4,27,0,34.1,24
2021,4,28,0,35.5,24.5
2021,4,29,0,36,24.5
2021,4,30,0,38.6,25
2021,5,1,0,36.3,23.7
2021,5,2,0,36.7,24.4
2021,5,3,0,34.5,25.2
2021,5,4,0,35.1,25.9
2021,5,5,0,36,25.6
2021,5,6,0,36,25.5
2021,5,7,0,35.5,25
2021,5,8,0,36.6,24.6
2021,5,9,0,37.8,25.3
2021,5,10,0,36.5,25.1
2021,5,11,0,37.5,26.5
2021,5,12,0,37,27.1
2021,5,13,0,36.1,25.4
2021,5,14,0,36.5,26.5
2021,5,15,0,36.5,26.5
2021,5,16,0,37.3,26.2
2021,5,17,2.6,38.7,24.7
2021,5,18,0,33.9,25
2021,5,19,0,36.2,24.5
2021,5,20,0,37.7,25.9
2021,5,21,0,37.2,25.1
2021,5,22,0,38.5,25.5
2021,5,23,1.6,39,24.4
2021,5,24,0.2,37.8,24.4
2021,5,25,2,37.8,25
2021,5,26,0,37.6,26.4
2021,5,27,0,38,27.7
2021,5,28,0,37.6,27
2021,5,29,0,39,26.4
2021,5,30,0,37.5,26
2021,5,31,1,39,26.5
2021,6,1,0,38.2,26.1
2021,6,2,10,36.8,24.1
2021,6,3,7.4,32.2,25
2021,6,4,3.4,35.1,25.1
