YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0.4,28.8,21.8
2021,1,2,6.4,29,22
2021,1,3,2.4,30,23.8
2021,1,4,3.6,29.6,23.9
2021,1,5,3.4,32,23.6
2021,1,6,0,30,23.6
2021,1,7,0,30.6,23.9
2021,1,8,2,31.2,23
2021,1,9,15,29.5,21.8
2021,1,10,4,29,21.2
2021,1,11,0,28.8,21.5
2021,1,12,4.4,28.6,21.4
2021,1,13,1.8,30.2,22.4
2021,1,14,18.4,30.6,22.8
2021,1,15,2.8,29,22.6
2021,1,16,16.8,29.7,22
2021,1,17,7.2,28.8,22.1
2021,1,18,1.2,28.8,22.7
2021,1,19,16,28.6,22.4
2021,1,20,2.6,28.8,22.6
2021,1,21,7.8,30.5,23.6
2021,1,22,0,30.4,23.8
2021,1,23,0,31.8,23.5
2021,1,24,0,31.4,23.8
2021,1,25,0,31.5,24.4
2021,1,26,0,32,24
2021,1,27,0,31,23.6
2021,1,28,0,30.7,21.8
2021,1,29,0,31.2,22
2021,1,30,0.6,29,21.7
2021,1,31,3,29.2,22
2021,2,1,0,30.2,21.8
2021,2,2,4.8,30.5,22.4
2021,2,3,1.2,30,22.1
2021,2,4,7.8,29.6,22
2021,2,5,3.2,29.1,22
2021,2,6,0,29.8,22.6
2021,2,7,0,31.2,23
2021,2,8,6.8,30.8,22.7
2021,2,9,2.3,30,22.8
2021,2,10,3,29.6,22.5
2021,2,11,40.7,30.6,23
2021,2,12,0,32.5,23.6
2021,2,13,0,32.6,23.3
2021,2,14,0,30.8,23.6
2021,2,15,0,30.5,22.8
2021,2,16,0,32,22
2021,2,17,11.6,30.8,23.1
2021,2,18,9.6,30.2,21.8
2021,2,19,0.4,28.5,21.6
2021,2,20,0,29.5,21.8
2021,2,21,4.6,29.2,22.6
2021,2,22,44.4,29.2,22.4
2021,2,23,0.4,30.5,23.2
2021,2,24,1.2,30.7,22.8
2021,2,25,0,32.2,23
2021,2,26,0.4,32,23.3
2021,2,27,1.4,32.5,23.6
2021,2,28,0,32.6,23.9
2021,3,1,0,32.8,24
2021,3,2,0,32.5,24.3
2021,3,3,0,32.9,23.2
2021,3,4,0,32.8,23.7
2021,3,5,0,32.2,24.2
2021,3,6,0,32.5,24
2021,3,7,0,32.6,23.9
2021,3,8,0.4,32.3,23.9
2021,3,9,1.2,31.2,24
2021,3,10,1.8,31.5,23.2
2021,3,11,1.4,31.2,23.2
2021,3,12,10.6,32.2,23
2021,3,13,1.2,29.8,23
2021,3,14,0.4,30.2,23
2021,3,15,0,31.6,23.4
2021,3,16,9.4,31.3,23.6
2021,3,17,0,32,23.5
2021,3,18,0,33.6,24.2
2021,3,19,0,33.2,24.4
2021,3,20,0,32.8,24.6
2021,3,21,2.6,33,24.7
2021,3,22,9,32.8,23.8
2021,3,23,1.4,31.7,23.9
2021,3,24,0,31.8,24
2021,3,25,0,32.9,23.6
2021,3,26,0,32.5,24.3
2021,3,27,22,32.9,24
2021,3,28,5.2,32.4,23.8
2021,3,29,0,33,24.1
2021,3,30,0,33.2,24.2
2021,3,31,3.4,32.7,24
2021,4,1,0,32.8,24.3
2021,4,2,0,32.9,24
2021,4,3,0,33.2,24.4
2021,4,4,0,33.4,24.2
2021,4,5,0,32.9,24.3
2021,4,6,1.2,31.5,23.7
2021,4,7,0,32.4,24.3
2021,4,8,4,32.5,23.6
2021,4,9,0,32,24.4
2021,4,10,4.2,32.8,23.9
2021,4,11,0,32.4,23.6
2021,4,12,0,32,24
2021,4,13,6,33.4,24.2
2021,4,14,12.8,33.4,23.8
2021,4,15,0.2,33,23.9
2021,4,16,0,32,24
2021,4,17,0,32.8,23.8
2021,4,18,0,32.5,24.2
2021,4,19,0,33.2,24
2021,4,20,0,33.8,24
2021,4,21,0,33,24.2
2021,4,22,0,32.7,24.2
2021,4,23,0,33,24.3
2021,4,24,0,33.2,24.6
2021,4,25,0,33.8,24.2
2021,4,26,0,32.8,24
2021,4,27,0,32.6,24.3
2021,4,28,0,32.8,24.6
2021,4,29,0,32.9,24.4
2021,4,30,0,33.8,24
2021,5,1,0,33.1,23.9
2021,5,2,0,33.5,24.2
2021,5,3,0,33.2,24.4
2021,5,4,0,33.4,24.6
2021,5,5,0,34,24.4
2021,5,6,3,33.5,24.2
2021,5,7,0,34,24.6
2021,5,8,1.6,33.6,24.8
2021,5,9,7.4,33.4,24.6
2021,5,10,4.6,31.7,24.6
2021,5,11,0,33.2,24.5
2021,5,12,0,33,24.8
2021,5,13,6.8,33.5,25.4
2021,5,14,19.4,33.5,24.7
2021,5,15,34,33.3,24.6
2021,5,16,0.2,33.6,24.8
2021,5,17,0,33.2,24.9
2021,5,18,3.6,33.5,25.3
2021,5,19,2.8,33.6,24.8
2021,5,20,0.2,33.4,24.7
2021,5,21,0,32.8,25
2021,5,22,0,33.7,24
2021,5,23,2,33.8,24.4
2021,5,24,12,33.5,25.1
2021,5,25,0.6,33.8,25
2021,5,26,0.2,33.6,24.8
2021,5,27,76.2,33.2,24.9
2021,5,28,35.6,32.7,24
2021,5,29,0,33,24
2021,5,30,0,33.5,25.1
2021,5,31,0.8,34,24.2
2021,6,1,30.2,33.2,24.4
2021,6,2,91.2,28,23.8
2021,6,3,0,33.2,25
2021,6,4,0,32.6,24.6
2021,6,5,0,33,24.6
2021,6,6,0,33.5,25
2021,6,7,2,32.8,24.1
2021,6,8,2,32.2,24.4
2021,6,9,32.4,32.1,23.8
2021,6,10,0,31.4,24
2021,6,11,0.4,32,24.3
2021,6,12,29.6,30.8,23.8
2021,6,13,10,31,24
2021,6,14,2,31.6,24.4
2021,6,15,0,32.9,24
2021,6,16,0,32.8,25.2
2021,6,17,0,33.2,25
2021,6,18,0,33.5,25
2021,6,19,0,33,24
2021,6,20,0,34.6,24.4
2021,6,21,1.6,33.5,24.2
2021,6,22,0,34.4,25.2
2021,6,23,1.8,32.5,24.8
2021,6,24,3.2,32.8,24.2
2021,6,25,0,33.4,25
2021,6,26,0,33.8,24.6
2021,6,27,0,33.5,24
2021,6,28,0,34,24
2021,6,29,0,33.5,25.3
2021,6,30,0,33.8,24.8
2021,7,1,0,33.5,24.2
2021,7,2,0,34.2,24.8
2021,7,3,11.2,30.5,24.5
2021,7,4,0.8,31,24
2021,7,5,11.2,31.4,24
2021,7,6,17,32.8,24.2
2021,7,7,88.2,32.3,24
2021,7,8,1.4,32.4,24.4
2021,7,9,10.6,32,24.2
2021,7,10,25.1,32,24
2021,7,11,4.2,31.8,24
2021,7,12,0.6,31.5,24.6
2021,7,13,3.6,31,24
2021,7,14,0,33.8,24.6
2021,7,15,7.8,32.5,24
2021,7,16,0,32.4,23.8
2021,7,17,1.5,31.5,23.8
2021,7,18,5,33.2,24.7
2021,7,19,2.4,32,24.8
2021,7,20,11.4,31,24.5
2021,7,21,110.6,27,22.9
2021,7,22,129,27.2,23
2021,7,23,60.2,27,23.2
2021,7,24,17,27.6,23.5
2021,7,25,1.2,32.5,23.4
2021,7,26,0,34,24.4
2021,7,27,4.6,32.9,24.3
2021,7,28,11.5,30.4,24.8
2021,7,29,1,31.5,23.9
2021,7,30,0,32.8,24.7
2021,7,31,0,32.8,24.2
2021,8,1,0,33.6,24.4
2021,8,2,0,33.8,24.9
2021,8,3,2.4,32.3,24.5
2021,8,4,0.8,33,24
2021,8,5,0,33.5,24.4
2021,8,6,0,33.2,24.8
2021,8,7,0,33.7,24.3
2021,8,8,0,33.4,24.6
2021,8,9,0,33.5,24.3
2021,8,10,0.8,31.5,23.5
2021,8,11,2.2,33.4,23.8
2021,8,12,0,31,24.2
2021,8,13,0,32.7,23.5
2021,8,14,11.8,32.9,23.8
2021,8,15,6.2,30.5,23.7
2021,8,16,1.6,32.3,24
2021,8,17,0,32.5,24.1
2021,8,18,0,31.7,24
2021,8,19,0,32,24.2
2021,8,20,0,33.4,24.4
2021,8,21,0,31.8,24
2021,8,22,15.4,32,24
2021,8,23,13.2,31.8,23.8
2021,8,24,5.8,29,24.2
2021,8,25,33.4,31.8,23.8
2021,8,26,57.2,27.5,22.5
2021,8,27,12.4,29.8,23.6
2021,8,28,12,31.2,24
2021,8,29,0.4,30.8,23.9
2021,8,30,1,31.6,23.8
2021,8,31,0.2,30.8,23.8
2021,9,1,3.2,30.8,23.9
2021,9,2,5.2,31.9,23.7
2021,9,3,0,31.6,23.8
2021,9,4,0,32.5,24
2021,9,5,0,32.8,23.8
2021,9,6,17.2,32.6,23.7
2021,9,7,77.2,32.4,23.8
2021,9,8,51.5,27.5,23.4
2021,9,9,0,32,23.8
2021,9,10,72.8,29.8,23.4
2021,9,11,4.4,30.8,23.8
2021,9,12,0,31.7,23.9
2021,9,13,0,31.5,24
2021,9,14,6.2,31.8,24
2021,9,15,0,31.5,25
2021,9,16,17.6,32,23.6
2021,9,17,11.2,30.8,23.8
2021,9,18,12.4,32,23.8
2021,9,19,40.2,27.5,23.2
2021,9,20,8.6,31,24
2021,9,21,15.8,30.5,23.8
2021,9,22,0,32,23.6
2021,9,23,0,32,24.2
2021,9,24,2.8,30.5,23.5
2021,9,25,0,31.4,24.2
2021,9,26,0,32.8,24.5
2021,9,27,0,31.6,24.6
2021,9,28,30,33.2,24.1
2021,9,29,0.4,32.8,24
2021,9,30,0,32.4,24
2021,10,1,0,32.3,23.7
2021,10,2,99.2,32.9,24
2021,10,3,10.7,32.3,23.7
2021,10,4,5.8,30.5,23.8
2021,10,5,12.8,30.5,23.7
2021,10,6,0,30.2,24.3
2021,10,7,0.4,32,24.2
2021,10,8,0,31.5,24
2021,10,9,0,31.2,24.2
2021,10,10,0,31,24.8
2021,10,11,0,32.8,24.3
2021,10,12,31.7,29.4,23.5
2021,10,13,6,30.6,23.7
2021,10,14,3.6,31.3,24
2021,10,15,1.4,30.7,24
2021,10,16,15,31.3,23.5
2021,10,17,33.4,30.6,23.7
2021,10,18,4.8,31,24
2021,10,19,7.4,32.2,24.2
2021,10,20,4.8,31.7,24.4
2021,10,21,0,31.3,24.6
2021,10,22,1,32,24.3
2021,10,23,117.8,31,23.8
2021,10,24,38.1,29.8,24
2021,10,25,80.1,27.2,23.6
2021,10,26,6,31,23.8
2021,10,27,19.2,30.4,23.8
2021,10,28,8.7,30.5,23.6
2021,10,29,0.2,31,24
2021,10,30,0,31.4,24.2
2021,10,31,12.8,31.2,24.4
2021,11,1,1.2,31.3,24
2021,11,2,7.8,31.2,23.8
2021,11,3,0.4,31.4,24.2
2021,11,4,7.4,30,23.9
2021,11,5,5.6,30.2,24.2
2021,11,6,0,31.4,24.8
2021,11,7,1,31.3,24.6
2021,11,8,0,31,24.3
2021,11,9,0,31.4,24.3
2021,11,10,0,31.8,24.4
2021,11,11,0,31.6,24
2021,11,12,0.2,31.2,24.2
2021,11,13,0,31.9,24.3
2021,11,14,0,31.4,24.2
2021,11,15,0.7,32,24.3
2021,11,16,0,31.9,24.4
2021,11,17,0,31.4,24.4
2021,11,18,0,32.2,24
2021,11,19,0,31.8,24.2
2021,11,20,17.8,30.5,24
2021,11,21,0,31.4,24.6
2021,11,22,0,32,24.4
2021,11,23,4.8,31.6,24.3
2021,11,24,48.6,31,24
2021,11,25,0.4,31.2,24.2
2021,11,26,11.2,31.3,24
2021,11,27,1.8,31.5,24.1
2021,11,28,4.4,30.8,24
2021,11,29,0,31.3,23.5
2021,11,30,0,31.5,24.4
2021,12,1,1.2,30.7,24
2021,12,2,0,30.2,23
2021,12,3,7.6,28.5,22
2021,12,4,7,28.7,22.6
2021,12,5,11,30.1,22
2021,12,6,3.2,28.8,22.3
2021,12,7,5,29.2,23
2021,12,8,0,29.4,23.4
2021,12,9,0.1,28.2,23
2021,12,10,0,29.2,23.5
2021,12,11,24,28.8,23.9
2021,12,12,2.9,28,23.4
2021,12,13,6.2,28,22.7
2021,12,14,0.8,28.8,23.3
2021,12,15,2.2,29.5,22.7
2021,12,16,17,29,23
2021,12,17,50.4,29,23.5
2021,12,18,1.1,30.8,23.6
2021,12,19,1.4,30.7,23.6
2021,12,20,1.6,31.3,23.5
2021,12,21,0,31.2,24
2021,12,22,0,31,24
