YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,27.5,19.3
2021,1,2,0,28.5,20.8
2021,1,3,34,29,21
2021,1,4,1.5,29.2,22
2021,1,5,2,30.2,22.4
2021,1,6,0.8,29.6,22
2021,1,7,0,29.2,22
2021,1,8,0.5,28.4,20.8
2021,1,9,0,27,19.4
2021,1,10,0,27.1,19.6
2021,1,11,0,27.4,18
2021,1,12,0,28.6,19
2021,1,13,0,27.8,20
2021,1,14,0,28.2,20
2021,1,15,0,29,20
2021,1,16,0,29.1,20.6
2021,1,17,0,29,20.2
2021,1,18,9.3,26,19.6
2021,1,19,47.2,25.1,20.3
2021,1,20,84.2,26.6,20.8
2021,1,21,57.2,26.4,20.8
2021,1,22,0,31,22.4
2021,1,23,0,30.4,21.6
2021,1,24,37.6,30,22.5
2021,1,25,27.6,28.4,22
2021,1,26,10.5,28.4,21.8
2021,1,27,0.8,29,21
2021,1,28,1,27.6,20
2021,1,29,10.7,25.7,19.6
2021,1,30,0,26.6,19.2
2021,1,31,2,27,19.8
2021,2,1,0,28.4,19.2
2021,2,2,1,29,20
2021,2,3,0.6,27.8,20.6
2021,2,4,4.5,26.4,20
2021,2,5,0,27,21.6
2021,2,6,0.5,30,21.7
2021,2,7,0,30.4,21.2
2021,2,8,1.2,30,22
2021,2,9,68.5,26.7,20.4
2021,2,10,25.5,25.7,21.2
2021,2,11,30.5,31,22
2021,2,12,0,29.2,21.4
2021,2,13,0,28.4,21
2021,2,14,0,28.4,20
2021,2,15,0,27.9,20.6
2021,2,16,0,29.6,20
2021,2,17,0,29,20.2
2021,2,18,0.5,27.8,18.8
2021,2,19,0,26.4,17.2
2021,2,20,0,27.8,17.2
2021,2,21,0.5,28.6,20.4
2021,2,22,20,29.8,21.2
2021,2,23,40,28.4,21
2021,2,24,0,31,22.5
2021,2,25,0,31.4,19.8
2021,2,26,0,32.4,21
2021,2,27,0,31.5,22.1
2021,2,28,19,29.8,21.8
2021,3,1,6.2,30.2,22
2021,3,2,22.2,30.5,22.8
2021,3,3,7.5,27,21.4
2021,3,4,10.2,30,21.6
2021,3,5,0,30.8,21.8
2021,3,6,0,30.6,21.8
2021,3,7,0,30,20.8
2021,3,8,0,30.3,20.4
2021,3,9,0,30.4,19.8
2021,3,10,29.2,30.6,20.6
2021,3,11,9.5,30,21
2021,3,12,0,29.6,21.6
2021,3,13,1,29.8,21
2021,3,14,14,28.7,21.8
2021,3,15,46,27.5,20.4
2021,3,16,0,33,22
2021,3,17,0,32.8,23.2
2021,3,18,16,33,22
2021,3,19,3.2,29.8,21
2021,3,20,12.5,29.4,22.8
2021,3,21,55.9,31,20
2021,3,22,18.5,30.2,21
2021,3,23,40.2,28.4,21
