YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0.4,31.5,23.6
2021,1,2,21.1,30.2,24.3
2021,1,3,11.7,32.2,23.6
2021,1,4,5.3,30.5,23.5
2021,1,5,8.6,31.5,24
2021,1,6,1.6,32,24.2
2021,1,7,26.7,31,24
2021,1,8,14.8,30.1,24
2021,1,9,32.9,32.6,24
2021,1,10,56.6,27.2,23
2021,1,11,148.2,28.5,23.2
2021,1,12,0.5,27.5,23
2021,1,13,0.2,29.4,23.5
2021,1,14,0,31,21.5
2021,1,15,13.6,30.8,22.7
2021,1,16,13.1,32.2,24
2021,1,17,14,33.2,24
2021,1,18,82.1,27.5,22.9
2021,1,19,2,27,22.9
2021,1,20,0,30.2,23.7
2021,1,21,0,31.5,24.6
2021,1,22,2,32.2,23.1
2021,1,23,-1,32,24
2021,1,24,0,33.2,23.5
2021,1,25,0,32.1,22.6
2021,1,26,1,32,24.1
2021,1,27,14.7,32.2,24
2021,1,28,18.9,29,21.5
2021,1,29,6.4,31,23
2021,1,30,0.9,30.6,23.8
2021,1,31,0.2,31.4,22.5
2021,2,1,5.6,31.3,23.9
2021,2,2,30.1,29,23
2021,2,3,11.6,32.1,23.7
2021,2,4,5.2,32.3,23.2
2021,2,5,3.1,31,24
2021,2,6,4.2,34,24.9
2021,2,7,77,31.8,23
2021,2,8,60.2,28.3,22.9
2021,2,9,27.7,28.3,23.6
2021,2,10,0.2,30,23.6
2021,2,11,0,34,24.3
2021,2,12,0.8,33.2,24.2
2021,2,13,17.8,32.4,24.3
2021,2,14,15.6,32.2,23.5
2021,2,15,0.3,28.5,23.6
2021,2,16,14.7,31.8,23.1
2021,2,17,6.7,29.5,23
2021,2,18,-1,31.7,22.7
2021,2,19,0.3,32,22
2021,2,20,0,27.6,23
2021,2,21,53.1,30.2,23.4
2021,2,22,0.2,31.5,24.2
2021,2,23,-1,32.6,25.2
2021,2,24,-1,34,23.5
2021,2,25,0,34,25.5
2021,2,26,-1,32.8,25.2
2021,2,27,-1,32.6,25.2
2021,2,28,0,35.2,22
2021,3,1,6.2,30.1,24.5
2021,3,2,0,32.1,23.1
2021,3,3,-1,33,24
2021,3,4,2.2,33,24.8
2021,3,5,0.3,34.2,24.5
2021,3,6,-1,33.8,25.4
2021,3,7,0,34.8,24.6
2021,3,8,0.4,32.6,25.2
2021,3,9,0,34.2,22.1
2021,3,10,12.8,33.5,24
2021,3,11,123.1,28.2,23
2021,3,12,13.2,31.4,23.2
2021,3,13,0.1,31.6,24.5
2021,3,14,9,33.2,24.9
2021,3,15,4.1,32.3,24.5
2021,3,16,0.4,33.9,24.5
2021,3,17,0.5,32.3,25.4
2021,3,18,0,34.3,24.4
2021,3,19,10.6,33.4,23.6
2021,3,20,1.9,33.2,25
2021,3,21,4.4,31.6,24.4
2021,3,22,0,34.9,25.1
2021,3,23,20,33.9,24.5
2021,3,24,9,30.5,24
2021,3,25,7,30.2,24
2021,3,26,1,33.6,24
2021,3,27,-1,34.2,24.2
2021,3,28,3.8,32.6,25.1
2021,3,29,0,33.1,24.1
2021,3,30,1.5,32.6,25.5
2021,3,31,1.5,31.5,24.5
2021,4,1,0,34,23.7
2021,4,2,0,34.2,24.9
2021,4,3,0,33.4,24.1
2021,4,4,0,34.2,23.9
2021,4,5,0,32.3,23.9
2021,4,6,31,31.3,23
2021,4,7,0,34.5,22.5
2021,4,8,0,33,23
2021,4,9,0,33.2,24
2021,4,10,0,32.5,23.2
2021,4,11,0,32.8,24.6
2021,4,12,6,32.2,24.4
2021,4,13,-1,32.3,24.4
2021,4,14,35.6,30,24
2021,4,15,26.6,29.5,23.9
2021,4,16,2.8,31.4,24.6
2021,4,17,35,32.2,25
2021,4,18,124.2,27.2,23
2021,4,19,9.6,27.6,24.5
2021,4,20,0,30.5,25
2021,4,21,0,32.9,25.5
2021,4,22,0,32,24.8
2021,4,23,0,33.7,25.1
2021,4,24,0.3,34,26
2021,4,25,0,33.2,24
2021,4,26,0,32.8,22.4
2021,4,27,-1,32.4,23
2021,4,28,0.3,32,22.9
2021,4,29,0,34,25
2021,4,30,0,34.4,26.9
2021,5,1,0,34.2,25.2
2021,5,2,10.2,35.2,25.8
2021,5,3,7.6,33.8,26
2021,5,4,0.7,31.7,25.6
2021,5,5,-1,34.5,26.5
2021,5,6,1.4,34.5,26
2021,5,7,1,33.5,26.2
2021,5,8,0.5,32.2,26.5
2021,5,9,3.8,33.5,25.8
2021,5,10,6.8,32.2,26
2021,5,11,12.4,32.3,25.3
2021,5,12,1,32.6,25.1
2021,5,13,0.7,34.6,26
2021,5,14,6.9,32.6,25
2021,5,15,2.4,34.4,25.5
2021,5,16,0.8,35.4,26
2021,5,17,7.2,33.8,26.2
2021,5,18,2,34.1,26.4
2021,5,19,0.7,35,26
2021,5,20,4.5,30.5,25.4
2021,5,21,0,32.5,26
2021,5,22,0,34.2,26
2021,5,23,2,32.2,26
2021,5,24,11.2,34.3,25.5
2021,5,25,34.2,32.5,25.5
2021,5,26,1.2,33.5,26
2021,5,27,0,33,26.2
2021,5,28,2.6,32.2,25.2
2021,5,29,0,34.6,26
2021,5,30,0,33,26
2021,5,31,18.21,33,25.5
2021,6,1,49.4,29.9,25.1
2021,6,2,0,32.5,26
2021,6,3,0,34,26.3
2021,6,4,0.9,32.2,26.2
2021,6,5,10.1,33,25.5
2021,6,6,0.2,32.6,25.7
2021,6,7,-1,31.9,25.2
2021,6,8,1.2,32.2,25
2021,6,9,14.8,33,25
2021,6,10,2.3,34,25.4
2021,6,11,65.2,32.5,23.9
2021,6,12,0.8,31.4,24.6
2021,6,13,6.2,32.4,24.5
2021,6,14,0.1,33.6,26.5
2021,6,15,0,34.2,26.2
2021,6,16,0,33.5,26.1
2021,6,17,0,35,25.8
2021,6,18,0,34.5,26.8
2021,6,19,0,34.2,26.4
2021,6,20,0,34.2,26.4
2021,6,21,0,34.2,26.2
2021,6,22,1.4,33.8,25.5
2021,6,23,0,33.5,26.5
2021,6,24,0,33,25.4
2021,6,25,1.8,33.5,25.4
2021,6,26,3,32,26
2021,6,27,4.2,32.4,25.2
2021,6,28,-1,34.6,25.5
2021,6,29,0,34.4,25.5
2021,6,30,-1,35.5,26.4
2021,7,1,7.3,32.9,25.2
2021,7,2,2.1,34.3,25.2
2021,7,3,7.4,31,24.1
2021,7,4,0.1,33.4,26.9
2021,7,5,25.2,32.6,25.2
2021,7,6,2.8,31.9,25.6
2021,7,7,-1,31,25
2021,7,8,18.6,32.5,24.5
2021,7,9,3.1,32.2,24.8
2021,7,10,0.4,31.2,25.1
2021,7,11,9.1,32.2,25.6
2021,7,12,0,34.4,26
2021,7,13,0.1,32.4,26
2021,7,14,3.8,34,25
2021,7,15,10,34,25.2
2021,7,16,0.7,33.4,26.8
2021,7,17,0,34.2,26.4
2021,7,18,0.2,34.6,28
2021,7,19,8.8,35,26.2
2021,7,20,0,33.6,28.4
2021,7,21,1.8,34,27
2021,7,22,0,34.6,26.2
