YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,-1,33.2,23.5
2021,1,2,0.1,33,23.4
2021,1,3,-1,32.6,23.7
2021,1,4,4.1,33.8,22.8
2021,1,5,4.8,34.2,23.3
2021,1,6,0,31,23
2021,1,7,-1,29.6,22.8
2021,1,8,17.5,33.5,23.4
2021,1,9,0,33.8,23.6
2021,1,10,0.5,34.4,23.3
2021,1,11,-1,32.8,23.2
2021,1,12,50.4,34,23.3
2021,1,13,1,33.8,23.5
2021,1,14,0.6,33.4,23.6
2021,1,15,5.8,34.3,23.4
2021,1,16,34,33.4,23.3
2021,1,17,8,31,23.2
2021,1,18,1.4,27.4,23
2021,1,19,7.1,31,23.5
2021,1,20,7.7,33,23.8
2021,1,21,0,33.2,23.8
2021,1,22,0.4,34,23.9
2021,1,23,-1,33.1,23.7
2021,1,24,0.6,34.2,23.6
2021,1,25,0,35,23
2021,1,26,0,35,24.2
2021,1,27,0,34,23
2021,1,28,-1,34.8,23.5
2021,1,29,0,34.7,23.6
2021,1,30,0,32.9,23.7
2021,1,31,0.1,34,23.4
2021,2,1,0,34,23
2021,2,2,0.3,34.2,23
2021,2,3,0,34.6,22
2021,2,4,1.2,33.6,23.4
2021,2,5,18.5,35.6,23.2
2021,2,6,0,34.6,23.5
2021,2,7,11.8,34.2,23.4
2021,2,8,3,32.6,23.5
2021,2,9,0,33.1,23.9
2021,2,10,6.6,33.3,23.5
2021,2,11,14.8,32.8,23.7
2021,2,12,0,33.8,23.8
2021,2,13,73.2,33.6,23.3
2021,2,14,0,33.8,23.2
2021,2,15,3,34,23
2021,2,16,0.3,33.5,23.3
2021,2,17,-1,32.2,23
2021,2,18,0,35.4,21.8
2021,2,19,0,35.3,23.4
2021,2,20,0,31.6,23.3
2021,2,21,2,27.2,22.8
2021,2,22,-1,32.2,22.4
2021,2,23,0,35,23.7
2021,2,24,1.4,35.5,24.4
2021,2,25,0,32.2,23.6
2021,2,26,0,34,23.7
2021,2,27,0,34,23.8
2021,2,28,13.7,34.6,23.2
2021,3,1,3.2,35.2,23.2
2021,3,2,8,35.3,23.8
2021,3,3,0,34.2,24.2
2021,3,4,0,35.2,24.2
2021,3,5,0,35,23.4
2021,3,6,0,34.9,24
2021,3,7,-1,35.2,23.2
2021,3,8,0,35.2,23.9
2021,3,9,-1,35.6,23.5
2021,3,10,46.3,34.6,23
2021,3,11,20.8,33.6,22.9
2021,3,12,3.4,33.2,23.2
2021,3,13,0.6,33,22.6
2021,3,14,0,33.2,22.1
2021,3,15,0,34.4,23.9
2021,3,16,4.2,35,23.1
2021,3,17,-1,35.6,23.4
2021,3,18,0,35.8,23.2
2021,3,19,0,35.9,23.2
2021,3,20,0,35.6,23.8
2021,3,21,29,37,23.5
