YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,3.6,26.4,23.7
2021,1,2,57.4,31.3,24.4
2021,1,3,10.8,30.8,24.9
2021,1,4,14.2,29.6,23.3
2021,1,5,2.4,31.2,24.8
2021,1,6,13.8,28,23.7
2021,1,7,3.3,26.8,23.6
2021,1,8,0,30.3,24.2
2021,1,9,7.1,33.8,25
2021,1,10,2.5,32.9,25
2021,1,11,2.5,27.5,24.6
2021,1,12,0.4,31.4,24.9
2021,1,13,0,32.8,26
2021,1,14,-1,33,25.8
2021,1,15,2.6,32,24.9
2021,1,16,9.6,32,25.3
2021,1,17,1.8,29.6,24.3
2021,1,18,1.9,25.5,23.9
2021,1,19,0.1,30.2,24.7
2021,1,20,80.8,32.5,24.5
2021,1,21,0,31.2,25.4
2021,1,22,-1,30.1,24
2021,1,23,0,30,24.6
2021,1,24,7.7,32.8,24.9
2021,1,25,-1,32.2,24.2
2021,1,26,0,32.7,24.4
2021,1,27,0,32.6,23.6
2021,1,28,7.5,32.8,24
2021,1,29,0.2,30.3,24
2021,1,30,2.1,29.9,24.5
2021,1,31,36,31,23.5
2021,2,1,-1,30,23.5
2021,2,2,0,30.3,24.6
2021,2,3,0,33.1,24.6
2021,2,4,2.2,29.4,24.2
2021,2,5,0,32.9,24.7
2021,2,6,0,33.6,24.2
2021,2,7,0.9,31.3,24.6
2021,2,8,0,28,23.8
2021,2,9,0,32.5,25.4
2021,2,10,4.4,32.7,24.9
2021,2,11,41.9,32.5,24.5
2021,2,12,46.6,32.1,24.3
2021,2,13,-1,32.2,24.8
2021,2,14,50.4,33,23.7
2021,2,15,29.8,33.4,24.7
2021,2,16,1.1,32.3,23.6
2021,2,17,0,31.7,23.1
2021,2,18,-1,31.9,24.1
2021,2,19,-1,30.8,23.3
2021,2,20,0.4,30.3,23.8
2021,2,21,12.5,28.3,22.8
2021,2,22,-1,33.6,25.3
2021,2,23,0,33.5,24
2021,2,24,0,32,23.7
2021,2,25,0,32.6,25.8
2021,2,26,-1,32.4,25.7
2021,2,27,-1,33.5,25.2
2021,2,28,8.2,34.2,24.8
2021,3,1,0,33,24.8
2021,3,2,0,33.3,25.1
2021,3,3,0,34,23.9
2021,3,4,-1,33.7,25
2021,3,5,0.8,32.3,25
2021,3,6,0.6,32.9,23.3
2021,3,7,7.6,33.3,23.8
2021,3,8,3.6,32.2,24.7
2021,3,9,0.6,32,23.9
2021,3,10,1.4,30,24.4
2021,3,11,1.5,30.9,24.9
2021,3,12,0,30.9,24.3
2021,3,13,1,32.1,24.4
2021,3,14,30.7,32.8,24.8
2021,3,15,9.8,33,24.2
2021,3,16,12.3,33.4,24
2021,3,17,-1,34,25.7
2021,3,18,0,34.3,24.2
2021,3,19,-1,33.3,25.7
2021,3,20,0,33.2,26.1
2021,3,21,7,32.7,25.2
2021,3,22,-1,34,24.8
2021,3,23,0.6,33.7,25.2
2021,3,24,-1,31.5,23.7
2021,3,25,0,34.6,25.1
2021,3,26,0,34.8,25.4
2021,3,27,0,30.7,24.8
2021,3,28,2.3,32,25.4
2021,3,29,7.2,32.2,24.8
2021,3,30,1.8,30.1,25.8
2021,3,31,5.2,30.9,25.3
2021,4,1,2.8,33.6,25.9
2021,4,2,25.4,33.2,25.3
2021,4,3,0,34.3,24.6
2021,4,4,0,34.3,25.7
2021,4,5,0,34.5,25.4
2021,4,6,0,34.4,25.2
2021,4,7,10.9,34.1,25.7
2021,4,8,-1,33.2,25
2021,4,9,1.4,33.4,24.5
2021,4,10,41.4,34.1,24.3
2021,4,11,0,32.2,24
2021,4,12,31.6,33.1,23.5
2021,4,13,0.1,33.8,25.4
2021,4,14,9.5,33,23.3
2021,4,15,0.2,33.2,24.8
2021,4,16,26.2,32,24.8
2021,4,17,0,30.8,25.7
2021,4,18,0,33.8,25.4
2021,4,19,-1,32,24
2021,4,20,0,33.2,24
2021,4,21,0,34.8,24.9
2021,4,22,0,33.8,25
2021,4,23,0,34.7,24.9
2021,4,24,0,35.1,25.1
2021,4,25,5.2,34.4,25.4
2021,4,26,172.3,33.7,23.8
2021,4,27,1.2,28,24.5
2021,4,28,5,33.4,25.6
2021,4,29,0,33.6,25.4
2021,4,30,0,33,25.8
2021,5,1,0.2,33.8,26.2
2021,5,2,-1,32.5,25.6
2021,5,3,-1,32.6,25
2021,5,4,0.4,30.4,25.2
2021,5,5,0,34,25.7
2021,5,6,0.3,34.3,25.4
2021,5,7,11.4,32.8,25
2021,5,8,5.2,33,25.5
2021,5,9,62.6,33.7,25
2021,5,10,0.4,32.1,24.9
2021,5,11,3.2,32.8,25.4
2021,5,12,39.2,31.9,24.1
2021,5,13,22.8,32.2,25.6
2021,5,14,1.8,29,25.2
2021,5,15,-1,33,25.5
2021,5,16,-1,33.3,25.1
2021,5,17,13.8,33,24.9
2021,5,18,23.8,30,25
2021,5,19,0,32.1,26.3
2021,5,20,3.3,32.6,25.1
2021,5,21,1.8,33.5,25
2021,5,22,7.8,33,25.3
2021,5,23,-1,34.7,25.2
2021,5,24,0.2,34,25.4
2021,5,25,7.1,32,24.8
2021,5,26,-1,32,26.4
2021,5,27,0,33.8,26.5
2021,5,28,0.8,33,25.5
2021,5,29,44,34,25.2
2021,5,30,55.6,31.8,25
2021,5,31,4.8,27.2,25
2021,6,1,0.4,30,24.3
2021,6,2,9.2,32.7,25.7
2021,6,3,-1,32.2,26
2021,6,4,2,32.7,24.8
2021,6,5,10,31.7,25.2
2021,6,6,2.8,29.5,24.5
2021,6,7,0,31.9,25.5
2021,6,8,48.6,32.1,25
2021,6,9,57.7,31.7,24.2
2021,6,10,9.4,32,25
2021,6,11,58,31.9,24.5
