YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,1.4,32.1,25
2021,1,2,88.8,31.2,24.4
2021,1,3,5.2,30.2,25.1
2021,1,4,0.6,29,25.5
2021,1,5,1,31.9,25
2021,1,6,4.4,32.4,24.8
2021,1,7,12.6,32,24.6
2021,1,8,9.8,32.2,24
2021,1,9,12.8,32.2,24.6
2021,1,10,0.9,30.8,25
2021,1,11,2.6,30.3,25
2021,1,12,14.2,29.6,23.6
2021,1,13,0.2,29.4,24.3
2021,1,14,24.9,29.2,24.4
2021,1,15,11.1,30.6,23.4
2021,1,16,10.4,31.6,24.6
2021,1,17,28.6,30.4,24.7
2021,1,18,82,25.9,23.6
2021,1,19,4.6,30.3,23.7
2021,1,20,4,31.6,24.2
2021,1,21,0.4,31.4,23.6
2021,1,22,0.1,31.9,23.6
2021,1,23,0,33.6,23.6
2021,1,24,0,32.7,25.4
2021,1,25,0,32.4,23.1
2021,1,26,3.4,32.7,24.5
2021,1,27,0,32.2,23.2
2021,1,28,13.1,32.8,24.2
2021,1,29,5.3,32.7,24.6
2021,1,30,4,30.2,23.5
2021,1,31,8.5,30.2,24.9
2021,2,1,1.3,29.6,24
2021,2,2,29.2,30.3,24
2021,2,3,2.9,30.6,24.5
2021,2,4,0.7,31.1,25
2021,2,5,-1,32.7,25.4
2021,2,6,-1,32.2,25.5
2021,2,7,26.3,32.9,24.3
2021,2,8,10.9,27.5,23.9
2021,2,9,0,31,23.6
2021,2,10,1.2,32.4,23.6
2021,2,11,0,33.5,23.8
2021,2,12,0,33.4,23.6
2021,2,13,0,32.8,24.1
2021,2,14,0.6,32.9,24.4
2021,2,15,1.5,30.8,24.7
2021,2,16,4,31.4,24.7
2021,2,17,9.9,31,22.6
2021,2,18,0,33.1,24.6
2021,2,19,0.1,32.4,24.5
2021,2,20,9.4,29.4,22.7
2021,2,21,20,24.8,22.2
2021,2,22,3,31,23.7
2021,2,23,-1,33.4,25
2021,2,24,2.6,33,24.8
2021,2,25,0.9,30.2,23.8
2021,2,26,-1,32.8,23.3
2021,2,27,0,33.9,24.5
2021,2,28,0.9,33.3,25.3
2021,3,1,4.5,32.9,24
2021,3,2,0.6,32.9,25.8
2021,3,3,-1,32.3,24.6
2021,3,4,0,32.8,25.4
2021,3,5,0.1,33.4,26.2
2021,3,6,0.1,32.7,25
2021,3,7,31.4,32.6,24.2
2021,3,8,0.1,32.3,25.3
2021,3,9,2.9,33.2,24.6
2021,3,10,20.7,32.6,23.4
2021,3,11,38.3,28.8,24
2021,3,12,11.9,30.5,23.5
2021,3,13,3.1,31.5,23.1
2021,3,14,0.8,32.2,24.5
2021,3,15,5,32.5,23.6
2021,3,16,0.4,33,24.3
2021,3,17,0,34.8,25
2021,3,18,0,33.7,24.2
2021,3,19,0,33.7,24.5
2021,3,20,0.6,33.3,26.2
2021,3,21,92,33.1,23.6
2021,3,22,0,32.9,25.8
2021,3,23,1.4,32.6,26.4
2021,3,24,0.1,32.2,25.7
2021,3,25,0,33.5,26.5
2021,3,26,0,33.2,25.5
2021,3,27,0.4,33.9,25.5
2021,3,28,0,32.9,25.3
2021,3,29,0,33.5,25.3
2021,3,30,-1,32.4,25.8
2021,3,31,27.9,33.2,25.4
2021,4,1,8,29.3,25.6
2021,4,2,0.4,33.2,24.9
2021,4,3,0,33.9,26.1
2021,4,4,0,33.5,24.9
2021,4,5,0,33.8,25.4
2021,4,6,0,34.2,24.6
2021,4,7,0,33.5,24.8
2021,4,8,0,34.4,23.6
2021,4,9,0,34.4,24.6
2021,4,10,0,35.2,24.6
2021,4,11,0,34.5,24
2021,4,12,0,34,24.3
2021,4,13,0.2,33.8,25
2021,4,14,0,33.4,24.6
2021,4,15,0,34.4,24.8
2021,4,16,10.4,35.7,25.2
2021,4,17,0,32.9,27.8
2021,4,18,0,30.9,24.5
2021,4,19,-1,32.6,25.6
2021,4,20,-1,31.6,24
2021,4,21,3.4,33.2,23.2
2021,4,22,0.9,34.7,23.8
2021,4,23,1.2,34,24
2021,4,24,0,33.6,24
2021,4,25,0.2,33.6,24.2
2021,4,26,1.2,33.6,24.5
2021,4,27,2.4,33,24.2
2021,4,28,0,34.8,24
2021,4,29,0,34.2,24.6
2021,4,30,3.4,33.5,24.8
2021,5,1,0.8,34.6,25.7
2021,5,2,2.7,33.4,26
2021,5,3,0,33.7,26.4
2021,5,4,0.8,34.6,27.4
2021,5,5,0,35.2,27.6
2021,5,6,0,34.7,27.6
2021,5,7,0.3,34.5,26
2021,5,8,34.6,34.5,24.2
2021,5,9,3.7,33.7,25
2021,5,10,3.1,31.4,24.9
2021,5,11,6.6,32.8,25
2021,5,12,21.5,34.2,24
2021,5,13,7.9,34.2,25.6
2021,5,14,46.3,32.6,24.3
2021,5,15,47.6,32.2,24.6
2021,5,16,2.1,33.5,27.5
2021,5,17,45.4,33.8,24.8
2021,5,18,7.2,30.4,24.8
2021,5,19,4.1,32.5,25.4
2021,5,20,69.3,33,23.6
2021,5,21,0.1,33,24.1
2021,5,22,0,33.3,24.6
2021,5,23,37.2,34.6,24.5
2021,5,24,28.5,31.6,24
2021,5,25,0.6,33.5,24.6
2021,5,26,6.8,34.4,24.2
2021,5,27,0,33.4,24.4
2021,5,28,0,35,25.5
2021,5,29,6.6,34.1,25.1
2021,5,30,0,32.1,25
2021,5,31,25.8,30.4,24.2
2021,6,1,7.6,27.6,23.4
2021,6,2,0,33.8,24.2
2021,6,3,0,34.4,25.2
2021,6,4,-1,34.5,25.5
2021,6,5,88.8,33.3,24
2021,6,6,1.5,31.9,24.2
2021,6,7,8.3,33.7,24.5
2021,6,8,10.6,32.8,24.2
2021,6,9,0.4,33.7,24.6
2021,6,10,0.2,34,24.6
2021,6,11,0.8,33,24.1
2021,6,12,9.9,32.7,23.1
2021,6,13,1.6,32.4,23.3
2021,6,14,0,33.8,23.5
2021,6,15,0,34.5,24.6
2021,6,16,0.7,33.4,23.6
2021,6,17,-1,33.6,23.6
2021,6,18,0,34.4,24
2021,6,19,-1,33.3,23.5
2021,6,20,0,33.1,23.7
2021,6,21,0,33.2,25.5
2021,6,22,-1,33.4,24.2
2021,6,23,0,34,24.4
2021,6,24,7.1,33.6,24
2021,6,25,0,33.4,25
2021,6,26,7,34.2,25
2021,6,27,3.4,31.6,22.7
2021,6,28,0,32.9,24
2021,6,29,0,33.3,24.5
2021,6,30,-1,33.4,24.5
2021,7,1,-1,33.9,24.5
2021,7,2,0,31.6,24.5
2021,7,3,0.8,30.2,23.5
2021,7,4,49,32.3,23.3
2021,7,5,37.6,33.8,23.4
2021,7,6,9.1,32.2,24.6
2021,7,7,2.6,34,24.4
2021,7,8,66,34.4,23.4
2021,7,9,7.4,32.2,23.6
2021,7,10,2,31.7,23.5
2021,7,11,4.9,33.7,24.7
2021,7,12,7.5,32.3,24.1
2021,7,13,0.2,31.3,24.4
2021,7,14,0,34,24.2
2021,7,15,22.1,33.5,23.6
2021,7,16,11.8,28.8,23.6
2021,7,17,0.2,32.9,23.5
2021,7,18,-1,31.6,24.3
2021,7,19,4.8,32.8,23.6
2021,7,20,0,33,24.4
2021,7,21,0,34.5,24.8
2021,7,22,0,34.5,24.8
2021,7,23,0,34.1,25.1
2021,7,24,0,35.4,25.1
2021,7,25,0,34.7,25
2021,7,26,0,34,25
2021,7,27,0,34.8,26
2021,7,28,0,36.1,25.4
2021,7,29,0,35.2,25.4
2021,7,30,0,35.2,24.2
2021,7,31,0,34.5,23.7
2021,8,1,0.6,34.9,24.4
2021,8,2,0.4,33.8,25.2
2021,8,3,0,34.7,25.4
2021,8,4,0,35.9,25.4
2021,8,5,12.5,34.4,24.8
2021,8,6,0,34.4,24.5
2021,8,7,0,34,25.5
2021,8,8,-1,31.4,25
2021,8,9,8.6,31.4,23.6
2021,8,10,0,31.5,23.6
2021,8,11,2.4,33.2,24.2
2021,8,12,0,35.2,24.6
2021,8,13,31.4,31.8,24.6
2021,8,14,0.1,32.9,23.6
2021,8,15,6.2,33.9,24.5
2021,8,16,0.6,33.7,24.8
2021,8,17,4.4,32.9,23.8
2021,8,18,0.2,33.2,24.4
2021,8,19,0,33,24.8
2021,8,20,-1,33.4,24.9
2021,8,21,0,32.4,23.5
2021,8,22,13,32.6,23.6
2021,8,23,24.4,32.9,24.2
2021,8,24,0.2,32.7,23.7
2021,8,25,41.3,33.2,24.4
2021,8,26,3.5,30.4,23.6
2021,8,27,4.2,32.6,24
2021,8,28,-1,33.2,24.3
2021,8,29,25,32.1,23.3
2021,8,30,0,33.4,24.8
2021,8,31,-1,34,25
2021,9,1,0.6,31.6,24.4
2021,9,2,19.8,34.4,23.8
2021,9,3,0,33.5,24.5
2021,9,4,-1,32.7,25.4
2021,9,5,7.7,32.8,24.9
2021,9,6,27.3,31.4,24.6
2021,9,7,1.2,28.9,23.2
2021,9,8,-1,31.2,24.5
2021,9,9,1.7,30.5,24.2
2021,9,10,0,32.8,23.7
2021,9,11,0,34.7,23.7
2021,9,12,0,33.1,24.6
2021,9,13,28.5,33.4,23.8
2021,9,14,1.8,33.3,25.4
2021,9,15,17,33.7,24.4
2021,9,16,7.8,31.9,24.2
2021,9,17,0.2,32.2,24.3
2021,9,18,0,33.3,24.2
2021,9,19,15.4,32.6,23.6
2021,9,20,10.6,30.6,23.6
2021,9,21,6,32.8,23.8
2021,9,22,50.4,32.6,23
2021,9,23,8,33.4,24
2021,9,24,10.9,33.2,24.4
2021,9,25,10,30.4,24.2
2021,9,26,0.3,32.2,23.6
2021,9,27,2.3,32.8,24.1
2021,9,28,0,32.9,24.1
2021,9,29,0,33.7,25.1
2021,9,30,0.2,33.4,24.4
2021,10,1,0,34.4,24.4
2021,10,2,4.2,34.2,23.5
2021,10,3,25.5,32.6,24.1
2021,10,4,3.6,29.5,24
2021,10,5,9.8,32.8,23.2
2021,10,6,0,33.4,24.6
2021,10,7,0,33.8,24.6
2021,10,8,4.9,31.8,24.8
2021,10,9,41.4,27.4,23.8
2021,10,10,2.9,30.5,24.8
2021,10,11,5.4,31.5,24.3
2021,10,12,1.4,31.9,24.4
2021,10,13,0,33,25
2021,10,14,0,34.4,25.4
2021,10,15,-1,32.4,24.6
2021,10,16,0,34.6,24
2021,10,17,15.1,34.7,24.9
2021,10,18,40.9,34.1,24.4
2021,10,19,0.4,32.2,24.6
2021,10,20,3.8,33.4,24.2
2021,10,21,0.2,32.8,25.2
2021,10,22,36.4,32.4,23.8
2021,10,23,0.8,29.6,24.3
2021,10,24,5.2,32.9,23.5
2021,10,25,0,33.9,24.5
2021,10,26,18.5,32.6,24.6
2021,10,27,11.5,32,23.8
2021,10,28,0,33,24.8
2021,10,29,0.8,33.8,25
2021,10,30,17.8,33.8,23.6
2021,10,31,1.6,31.6,24.6
2021,11,1,12,32.5,24.9
2021,11,2,1.1,31.8,25.2
2021,11,3,42.4,32,24.6
2021,11,4,5.8,33.4,24.4
2021,11,5,10.5,33,24.3
2021,11,6,23.3,33.9,24.7
2021,11,7,54.2,32.7,24.8
2021,11,8,5.4,33.2,25
