YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,31.2,26
2021,1,2,0.2,30.2,26.6
2021,1,3,0.6,30.9,26.6
2021,1,4,5.4,29.6,25.4
2021,1,5,1,30.4,26.5
2021,1,6,0,30.6,26.7
2021,1,7,0.8,29.6,26.3
2021,1,8,0.8,30,25.8
2021,1,9,0.2,29.6,26
2021,1,10,12.2,29,25
2021,1,11,0.2,28.2,25.2
2021,1,12,0.6,27.2,25.7
2021,1,13,0,27.5,26
2021,1,14,14.2,29,25.2
2021,1,15,0,30.2,25.8
2021,1,16,18.4,29.4,25.4
2021,1,17,0.8,29.1,26.6
2021,1,18,0.4,28,25.8
2021,1,19,1.3,29.5,25.6
2021,1,20,8.5,30,24.8
2021,1,21,2.2,29.6,25.4
2021,1,22,1.4,30.2,24.2
2021,1,23,0,30.9,25
2021,1,24,0,30.8,27
2021,1,25,0,30.6,24.6
2021,1,26,22.6,30,25.6
2021,1,27,-1,29.8,24
2021,1,28,23.1,30.3,24.2
2021,1,29,7.4,30,23.6
2021,1,30,0.8,28.1,24.6
2021,1,31,0,29.4,25.8
2021,2,1,7,28.9,24.8
2021,2,2,-1,28.4,25
2021,2,3,1.6,29,25
2021,2,4,0.4,30,26.2
2021,2,5,0,29.8,26.2
2021,2,6,0.2,30.4,26.2
2021,2,7,4.6,30.2,26
2021,2,8,0.8,28.2,25.6
2021,2,9,1,29.4,24.9
2021,2,10,0,30,25.2
2021,2,11,3.6,30,24.1
2021,2,12,0,30.2,25.4
2021,2,13,0.6,30.5,26.2
2021,2,14,0.6,29.6,25.5
2021,2,15,58.7,28.1,25.2
2021,2,16,0.8,28.5,25
2021,2,17,71.7,29.5,23.4
2021,2,18,5.7,28.6,24.7
2021,2,19,0,28.3,24.2
2021,2,20,0,27.6,25
2021,2,21,54.5,26.4,23.8
2021,2,22,0,29.9,25.7
2021,2,23,0,30.1,25.7
2021,2,24,0,30.7,24.8
2021,2,25,0,30,23.9
2021,2,26,21.1,30.6,25.3
2021,2,27,0,30.6,26.1
2021,2,28,0,31,25.6
2021,3,1,0,30.6,26.2
2021,3,2,0,30.5,27
2021,3,3,0,30.4,23.7
2021,3,4,0,31,24.2
2021,3,5,0.3,30.6,25.5
2021,3,6,0,30.9,25.9
2021,3,7,3.8,30.6,25.2
2021,3,8,0.6,30.4,25.8
2021,3,9,4.4,30.4,25.3
2021,3,10,14.8,29.7,24.5
2021,3,11,9.6,27.5,25
2021,3,12,8.4,29.3,24.5
2021,3,13,0.2,29.6,24.4
2021,3,14,0,33.2,24.4
2021,3,15,0,31,26.4
2021,3,16,0,31.1,25.4
2021,3,17,0,30.6,26.1
2021,3,18,0,31.1,25.5
2021,3,19,0,31,25.8
2021,3,20,0,31.3,27.9
2021,3,21,0.2,31.3,27.8
