RUN_TIME,Demand
1/1/2022,135404
1/2/2022,140832
1/3/2022,169064
1/4/2022,180786
1/5/2022,185167
1/6/2022,186347
1/7/2022,186337
1/8/2022,182159
1/9/2022,173730
1/10/2022,192686
1/11/2022,192153
1/12/2022,187208
1/13/2022,183899
1/14/2022,179356
1/15/2022,168659
1/16/2022,158285
1/17/2022,173778
1/18/2022,177441
1/19/2022,182027
1/20/2022,184507
1/21/2022,188092
1/22/2022,184051
1/23/2022,175588
1/24/2022,193838
1/25/2022,197443
1/26/2022,196761
1/27/2022,203655
1/28/2022,206769
1/29/2022,198100
1/30/2022,184490
1/31/2022,193526
2/1/2022,183013
2/2/2022,192141
2/3/2022,194258
2/4/2022,195823
2/5/2022,186986
2/6/2022,174059
2/7/2022,194549
2/8/2022,204005
2/9/2022,203887
2/10/2022,202715
2/11/2022,202491
2/12/2022,191483
2/13/2022,182353
2/14/2022,202292
2/15/2022,207341
2/16/2022,205431
2/17/2022,205086
2/18/2022,207036
2/19/2022,198816
2/20/2022,187026
2/21/2022,204774
2/22/2022,205687
2/23/2022,202458
2/24/2022,204680
2/25/2022,193889
2/26/2022,190469
2/27/2022,179476
2/28/2022,202460
3/1/2022,207096
3/2/2022,210429
3/3/2022,214520
3/4/2022,214990
3/5/2022,204929
3/6/2022,191990
3/7/2022,209669
3/8/2022,215802
3/9/2022,211310
3/10/2022,211779
3/11/2022,217426
3/12/2022,212614
3/13/2022,194607
3/14/2022,217537
3/15/2022,225096
3/16/2022,227247
3/17/2022,230609
3/18/2022,230769
3/19/2022,216782
3/20/2022,203304
3/21/2022,226785
3/22/2022,234471
3/23/2022,238399
3/24/2022,236389
3/25/2022,233121
3/26/2022,223952
3/27/2022,209398
3/28/2022,229003
3/29/2022,234815
3/30/2022,234745
3/31/2022,236349
4/1/2022,232126
4/2/2022,213256
4/3/2022,196081
4/4/2022,216366
4/5/2022,209050
4/6/2022,211893
4/7/2022,217472
4/8/2022,215242
4/9/2022,198189
4/10/2022,189814
4/11/2022,210773
4/12/2022,215753
4/13/2022,209287
4/14/2022,178283
4/15/2022,165502
4/16/2022,177522
4/17/2022,177701
4/18/2022,212687
4/19/2022,222024
4/20/2022,224925
4/21/2022,229251
4/22/2022,232896
4/23/2022,217951
4/24/2022,204309
4/25/2022,230943
4/26/2022,236170
4/27/2022,236534
4/28/2022,236924
4/29/2022,238655
4/30/2022,225212
5/1/2022,204186
5/2/2022,223461
5/3/2022,218709
5/4/2022,235284
5/5/2022,241227
5/6/2022,240743
5/7/2022,230059
5/8/2022,215506
5/9/2022,201240
5/10/2022,233705
5/11/2022,243883
5/12/2022,247168
5/13/2022,247609
5/14/2022,236916
5/15/2022,211035
5/16/2022,224897
5/17/2022,226814
5/18/2022,224567
5/19/2022,223062
5/20/2022,219878
5/21/2022,205549
5/22/2022,195731
5/23/2022,220813
5/24/2022,232709
5/25/2022,237042
5/26/2022,235800
5/27/2022,236536
5/28/2022,216088
5/29/2022,203298
5/30/2022,230983
5/31/2022,230553
6/1/2022,223768
6/2/2022,228466
6/3/2022,237188
6/4/2022,226953
6/5/2022,210933
6/6/2022,233965
6/7/2022,240000
6/8/2022,239254
6/9/2022,239226
6/10/2022,242390
6/11/2022,227966
6/12/2022,209236
6/13/2022,235767
6/14/2022,238529
6/15/2022,235232
6/16/2022,238706
6/17/2022,243989
6/18/2022,227648
6/19/2022,208999
6/20/2022,231703
6/21/2022,235552
6/22/2022,234341
6/23/2022,225211
6/24/2022,227931
6/25/2022,218444
6/26/2022,200506
6/27/2022,217707
6/28/2022,219991
6/29/2022,220365
6/30/2022,222515
7/1/2022,220391
7/2/2022,209327
7/3/2022,202486
7/4/2022,224819
7/5/2022,222888
7/6/2022,221902
7/7/2022,220134
7/8/2022,218651
7/9/2022,208183
7/10/2022,202099
7/11/2022,224918
7/12/2022,226356
7/13/2022,223119
7/14/2022,230291
7/15/2022,232495
7/16/2022,217427
7/17/2022,197353
7/18/2022,215738
7/19/2022,226892
7/20/2022,232511
7/21/2022,221399
7/22/2022,221437
7/23/2022,213718
7/24/2022,205378
7/25/2022,225707
7/26/2022,227052
7/27/2022,227176
7/28/2022,232334
7/29/2022,228498
7/30/2022,207851
7/31/2022,190508
8/1/2022,211500
8/2/2022,216770
8/3/2022,224447
8/4/2022,223009
8/5/2022,209511
8/6/2022,196890
8/7/2022,183378
8/8/2022,197350
8/9/2022,208928
8/10/2022,217762
8/11/2022,219332
8/12/2022,221797
8/13/2022,210033
8/14/2022,191006
8/15/2022,207804
8/16/2022,215054
8/17/2022,216426
8/18/2022,215124
8/19/2022,213198
8/20/2022,203022
8/21/2022,190222
8/22/2022,208037
8/23/2022,197413
8/24/2022,198514
8/25/2022,216082
8/26/2022,221187
8/27/2022,205845
8/28/2022,193287
8/29/2022,195556
8/30/2022,216870
8/31/2022,220188
9/1/2022,221548
9/2/2022,217751
9/3/2022,196393
9/4/2022,187879
9/5/2022,215227
9/6/2022,223301
9/7/2022,228722
9/8/2022,232814
9/9/2022,227214
9/10/2022,207714
9/11/2022,189957
9/12/2022,218966
9/13/2022,227063
9/14/2022,227806
9/15/2022,225400
9/16/2022,224454
9/17/2022,210215
9/18/2022,197213
9/19/2022,211042
9/20/2022,209493
9/21/2022,215121
9/22/2022,214833
9/23/2022,214807
9/24/2022,207161
9/25/2022,182723
9/26/2022,178648
9/27/2022,212916
9/28/2022,217539
9/29/2022,218935
9/30/2022,216248
10/1/2022,208059
10/2/2022,194271
10/3/2022,211938
10/4/2022,219910
10/5/2022,227174
10/6/2022,229089
10/7/2022,228351
10/8/2022,214547
10/9/2022,201124
10/10/2022,225154
10/11/2022,232278
10/12/2022,231198
10/13/2022,230145
10/14/2022,230184
10/15/2022,219477
10/16/2022,203379
10/17/2022,222816
10/18/2022,227707
10/19/2022,224688
10/20/2022,219718
10/21/2022,221939
10/22/2022,216163
10/23/2022,202265
10/24/2022,224087
10/25/2022,217068
10/26/2022,212196
10/27/2022,217618
10/28/2022,213589
10/29/2022,167633
10/30/2022,153637
10/31/2022,170564
11/1/2022,167164
11/2/2022,199874
11/3/2022,215889
11/4/2022,214038
11/5/2022,203497
11/6/2022,190471
11/7/2022,216491
11/8/2022,217361
11/9/2022,218735
11/10/2022,223929
11/11/2022,223813
11/12/2022,211141
11/13/2022,196933
11/14/2022,222247
11/15/2022,224078
11/16/2022,225537
11/17/2022,223671
11/18/2022,216694
11/19/2022,200546
11/20/2022,189789
11/21/2022,210217
11/22/2022,218777
11/23/2022,221578
11/24/2022,225830
11/25/2022,223009
11/26/2022,209113
11/27/2022,193391
11/28/2022,213324
11/29/2022,223842
11/30/2022,208660
12/1/2022,218879
12/2/2022,219064
12/3/2022,210718
12/4/2022,196861
12/5/2022,214725
12/6/2022,219932
12/7/2022,221166
12/8/2022,209111
12/9/2022,212551
12/10/2022,199672
12/11/2022,185755
12/12/2022,209649
12/13/2022,216477
12/14/2022,220022
12/15/2022,219216
12/16/2022,219135
12/17/2022,204712
12/18/2022,185027
12/19/2022,197498
12/20/2022,200532
12/21/2022,202791
12/22/2022,196842
12/23/2022,183546
12/24/2022,154831
12/25/2022,134483
12/26/2022,148129
12/27/2022,166050
12/28/2022,172497
12/29/2022,174737
12/30/2022,167057
12/31/2022,157177
1/1/2023,152650
1/2/2023,167449
1/3/2023,189531
1/4/2023,193521
1/5/2023,190870
1/6/2023,191786
1/7/2023,182543
1/8/2023,166578
1/9/2023,186206
1/10/2023,193261
1/11/2023,194721
1/12/2023,196129
1/13/2023,197381
1/14/2023,187738
1/15/2023,177386
1/16/2023,194799
1/17/2023,200338
1/18/2023,201446
1/19/2023,198824
1/20/2023,196707
1/21/2023,185912
1/22/2023,174571
1/23/2023,198095
1/24/2023,203568
1/25/2023,197264
1/26/2023,194777
1/27/2023,195313
1/28/2023,181921
1/29/2023,166068
1/30/2023,187751
1/31/2023,194038
2/1/2023,200070
2/2/2023,210054
2/3/2023,209096
2/4/2023,193591
2/5/2023,176838
2/6/2023,203820
2/7/2023,212746
2/8/2023,211568
2/9/2023,203812
2/10/2023,205636
2/11/2023,197727
2/12/2023,185433
2/13/2023,205644
2/14/2023,208987
2/15/2023,205513
2/16/2023,203786
2/17/2023,199107
2/18/2023,192160
2/19/2023,177224
2/20/2023,200973
2/21/2023,203623
2/22/2023,203725
2/23/2023,210700
2/24/2023,207467
2/25/2023,200954
2/26/2023,186059
2/27/2023,200835
2/28/2023,202073
3/1/2023,206905
3/2/2023,205451
3/3/2023,200663
3/4/2023,191102
3/5/2023,173361
3/6/2023,192510
3/7/2023,198641
3/8/2023,204982
3/9/2023,208152
3/10/2023,205058
3/11/2023,192032
3/12/2023,179557
3/13/2023,199612
3/14/2023,204298
3/15/2023,210344
3/16/2023,213898
3/17/2023,215823
3/18/2023,207147
3/19/2023,193993
3/20/2023,213763
3/21/2023,219155
3/22/2023,224046
3/23/2023,231459
3/24/2023,235581
3/25/2023,225984
3/26/2023,210960
3/27/2023,232777
3/28/2023,235109
3/29/2023,234331
3/30/2023,235411
3/31/2023,237027
4/1/2023,227026
4/2/2023,214055
4/3/2023,232939
4/4/2023,226204
4/5/2023,213695
4/6/2023,177750
4/7/2023,166902
4/8/2023,181348
4/9/2023,183885
4/10/2023,194476
4/11/2023,225064
4/12/2023,228151
4/13/2023,221358
4/14/2023,221015
4/15/2023,220045
4/16/2023,210995
4/17/2023,237429
4/18/2023,245600
4/19/2023,251491
4/20/2023,254522
4/21/2023,242860
4/22/2023,236745
4/23/2023,224128
4/24/2023,244219
4/25/2023,244452
4/26/2023,246543
4/27/2023,245681
4/28/2023,243448
4/29/2023,233961
4/30/2023,220752
5/1/2023,217796
5/2/2023,246647
5/3/2023,249258
5/4/2023,246065
5/5/2023,250320
5/6/2023,243156
5/7/2023,233316
5/8/2023,254386
5/9/2023,253395
5/10/2023,250318
5/11/2023,247102
5/12/2023,245721
5/13/2023,238678
5/14/2023,226165
5/15/2023,251031
5/16/2023,252854
5/17/2023,254533
5/18/2023,256226
5/19/2023,252994
5/20/2023,231694
5/21/2023,219806
5/22/2023,244779
5/23/2023,251948
5/24/2023,251483
5/25/2023,243999
5/26/2023,241748
5/27/2023,231813
5/28/2023,219596
5/29/2023,248099
5/30/2023,250702
5/31/2023,249588
6/1/2023,248482
6/2/2023,243673
6/3/2023,229103
6/4/2023,214798
6/5/2023,238581
6/6/2023,240941
6/7/2023,237925
6/8/2023,244333
6/9/2023,247193
6/10/2023,225236
6/11/2023,197876
6/12/2023,194753
6/13/2023,226630
6/14/2023,242989
6/15/2023,245263
6/16/2023,241350
6/17/2023,235145
6/18/2023,219435
6/19/2023,241324
6/20/2023,248660
6/21/2023,251471
6/22/2023,249624
6/23/2023,245110
6/24/2023,228550
6/25/2023,208952
6/26/2023,229756
6/27/2023,232853
6/28/2023,221354
6/29/2023,229526
6/30/2023,233174
7/1/2023,224814
7/2/2023,208440
7/3/2023,236510
7/4/2023,247146
7/5/2023,252142
7/6/2023,258445
7/7/2023,254656
7/8/2023,240052
7/9/2023,223933
