YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,5.2,31.2,23.8
2021,1,2,19.2,26.6,24
2021,1,3,13,28.8,24
2021,1,4,0.8,29.6,23.5
2021,1,5,4.4,30,23.5
2021,1,6,25.6,27.5,23
2021,1,7,56.2,25,23
2021,1,8,-1,28,23.2
2021,1,9,-1,29,24
2021,1,10,34.6,28.6,23
2021,1,11,42,27.8,23
2021,1,12,52.6,24,22
2021,1,13,0.6,27,23.5
2021,1,14,0.2,28.5,23.8
2021,1,15,0,30,23.8
2021,1,16,30,30,24.2
2021,1,17,0.4,29,24
2021,1,18,41.4,25.8,23
2021,1,19,1.4,29,24
2021,1,20,3.6,29,23.8
2021,1,21,0,30,24
2021,1,22,0,30.4,24.4
2021,1,23,0,30,23.6
2021,1,24,0,30.6,24
2021,1,25,0,30,23
2021,1,26,12.8,30,23
2021,1,27,0.4,29.5,23
2021,1,28,3.4,28,24
2021,1,29,3.2,30,23
2021,1,30,8,25,23
2021,1,31,6.2,28.2,23
2021,2,1,46.6,25.8,22.5
2021,2,2,5,28,22.5
2021,2,3,4.6,28,22.8
2021,2,4,1.4,30,23.4
2021,2,5,2.8,29,23.4
2021,2,6,13.2,30.8,23
2021,2,7,101,27.6,22.6
2021,2,8,26.4,25,22.6
2021,2,9,0,30,24
2021,2,10,0,31,25.5
2021,2,11,0,32,24.4
2021,2,12,0,31,24
2021,2,13,20.4,30,24.6
2021,2,14,11,29,23.6
2021,2,15,2.8,28.8,23
2021,2,16,13.4,30,23.5
2021,2,17,29.6,29.5,22.5
2021,2,18,0,29.2,24.2
2021,2,19,0,28.2,23
2021,2,20,3.8,24.2,22.6
2021,2,21,66.2,24.6,22.4
2021,2,22,0,30,24
2021,2,23,0,31,25
2021,2,24,0,31.5,24.5
2021,2,25,0,32.2,25.6
2021,2,26,-1,30,25
2021,2,27,0,30.6,25.4
2021,2,28,8,30,23.6
2021,3,1,0.2,30,25
2021,3,2,0,30,24.6
2021,3,3,0,30.4,22
2021,3,4,0,32,24.8
2021,3,5,1.4,31,23
2021,3,6,0,31.2,24
2021,3,7,9.2,31,23.8
2021,3,8,11.8,28.6,23.5
2021,3,9,0,29.8,23
2021,3,10,44.4,28,22.8
2021,3,11,15,26,23
2021,3,12,3,27,24.2
2021,3,13,0.2,30.4,24
2021,3,14,2,31,25
2021,3,15,0,31,25
2021,3,16,0,31.8,23.5
2021,3,17,0,30.5,25
2021,3,18,0,32.5,24.8
2021,3,19,0,33,25
2021,3,20,0,32.2,25.2
2021,3,21,3.2,31,25
2021,3,22,0,33,24.5
2021,3,23,29.6,32,24
2021,3,24,21.4,30,23.5
2021,3,25,0.6,31.5,25.4
2021,3,26,0,32,24
2021,3,27,8.6,29,24.2
2021,3,28,1.6,30,24.7
2021,3,29,0,32,24
