RUN_TIME,Demand
1/1/2023,29498
1/2/2023,30967
1/3/2023,34909
1/4/2023,35837
1/5/2023,37220
1/6/2023,38312
1/7/2023,35186
1/8/2023,32244
1/9/2023,36827
1/10/2023,36958
1/11/2023,35774
1/12/2023,35546
1/13/2023,37248
1/14/2023,35173
1/15/2023,34165
1/16/2023,38939
1/17/2023,39177
1/18/2023,39118
1/19/2023,39563
1/20/2023,40104
1/21/2023,35987
1/22/2023,32322
1/23/2023,36159
1/24/2023,36804
1/25/2023,36063
1/26/2023,37362
1/27/2023,39242
1/28/2023,37834
1/29/2023,34301
1/30/2023,37840
1/31/2023,39232
2/1/2023,39634
2/2/2023,40088
2/3/2023,39894
2/4/2023,37087
2/5/2023,34685
2/6/2023,38894
2/7/2023,39170
2/8/2023,38559
2/9/2023,38889
2/10/2023,39247
2/11/2023,37896
2/12/2023,35171
2/13/2023,38690
2/14/2023,37376
2/15/2023,37161
2/16/2023,37402
2/17/2023,36291
2/18/2023,34645
2/19/2023,34336
2/20/2023,39051
2/21/2023,39168
2/22/2023,39063
2/23/2023,40040
2/24/2023,39535
2/25/2023,37446
2/26/2023,34514
2/27/2023,38697
2/28/2023,39402
3/1/2023,40097
3/2/2023,38883
3/3/2023,38243
3/4/2023,36301
3/5/2023,34696
3/6/2023,39241
3/7/2023,39134
3/8/2023,40275
3/9/2023,41079
3/10/2023,40816
3/11/2023,38819
3/12/2023,36168
3/13/2023,39336
3/14/2023,38225
3/15/2023,39279
3/16/2023,40500
3/17/2023,40367
3/18/2023,38097
3/19/2023,36135
3/20/2023,40745
3/21/2023,42210
3/22/2023,42359
3/23/2023,42592
3/24/2023,42925
3/25/2023,40985
3/26/2023,38466
3/27/2023,41821
3/28/2023,42363
3/29/2023,41450
3/30/2023,41287
3/31/2023,41406
4/1/2023,39052
4/2/2023,36193
4/3/2023,40582
4/4/2023,41205
4/5/2023,39812
4/6/2023,34380
4/7/2023,31390
4/8/2023,35086
4/9/2023,35177
4/10/2023,36196
4/11/2023,41010
4/12/2023,42442
4/13/2023,43771
4/14/2023,44089
4/15/2023,42974
4/16/2023,39545
4/17/2023,43173
4/18/2023,44525
4/19/2023,45058
4/20/2023,45406
4/21/2023,42310
4/22/2023,41528
4/23/2023,39611
4/24/2023,44203
4/25/2023,43871
4/26/2023,44690
4/27/2023,44883
4/28/2023,44692
4/29/2023,41945
4/30/2023,36237
5/1/2023,38043
5/2/2023,41849
5/3/2023,42344
5/4/2023,42968
5/5/2023,43606
