YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,28.6,23.1
2021,1,2,0,31,24.8
2021,1,3,32.5,28.8,23.3
2021,1,4,0.5,32.4,24.6
2021,1,5,0.5,30.7,22.6
2021,1,6,-1,33.3,24.6
2021,1,7,-1,30.5,24.6
2021,1,8,0,30.4,25.4
2021,1,9,0,31,24.3
2021,1,10,0,30.2,22.7
2021,1,11,0,29,23.5
2021,1,12,0,28.6,21.9
2021,1,13,0,28.4,23.3
2021,1,14,0,31.2,25
2021,1,15,0,30.2,24.4
2021,1,16,-1,30.5,24.9
2021,1,17,-1,31.2,24.8
2021,1,18,0,30.2,24.7
2021,1,19,1,29,24
2021,1,20,29,28.2,24.3
2021,1,21,-1,31.5,25.7
2021,1,22,13,31.5,24.2
2021,1,23,0,30.3,25
2021,1,24,-1,32.7,25.3
2021,1,25,1,31.5,23.6
2021,1,26,-1,30.9,25.1
2021,1,27,6,29.5,24.1
2021,1,28,1.5,29.2,23.7
2021,1,29,0,29.7,23.2
2021,1,30,0,29.8,20.9
2021,1,31,0,30.4,22.5
2021,2,1,0,30.9,23.6
2021,2,2,0,30.9,23.4
2021,2,3,0,32.4,23.4
2021,2,4,0,31.8,24.5
2021,2,5,-1,32.5,25.2
2021,2,6,0,30.8,23.8
2021,2,7,0,33.4,24.2
2021,2,8,-1,32.2,23.9
2021,2,9,14,28.7,24.1
2021,2,10,6,30.7,23.9
2021,2,11,-1,30.6,25.4
2021,2,12,11,31,24
2021,2,13,0.5,27.7,23.5
2021,2,14,0,30.6,24.4
2021,2,15,0,31.4,23.5
2021,2,16,0,31.6,22.2
2021,2,17,0,32,24.2
2021,2,18,0,30.8,23.2
2021,2,19,0,29.6,21.6
2021,2,20,0,29.9,21.1
2021,2,21,1,28.9,23.3
2021,2,22,2,27,24.3
2021,2,23,-1,32.5,24.7
2021,2,24,0,33.9,24.7
2021,2,25,0,33.4,23.2
2021,2,26,0,34.3,25.8
2021,2,27,0,34.4,25.9
2021,2,28,0,33,25.3
2021,3,1,0,33.8,24.1
2021,3,2,13,34.1,25.7
2021,3,3,0,32.8,25.2
2021,3,4,0,32.5,25.1
2021,3,5,0,33.4,23.9
2021,3,6,0,33.3,24.5
2021,3,7,0,33.9,22.2
2021,3,8,0,33.7,25
2021,3,9,-1,32,23.3
2021,3,10,0,33.2,24.3
2021,3,11,-1,34.3,23.8
2021,3,12,3.5,32.6,23.9
2021,3,13,-1,30.1,25.2
2021,3,14,1.5,32,25.2
2021,3,15,11.5,32,25.2
2021,3,16,14.5,34.5,24.5
2021,3,17,0,35.4,27
2021,3,18,0,34.6,25.8
2021,3,19,0,34.3,26.4
2021,3,20,0,35,25.7
2021,3,21,-1,34.5,26.2
2021,3,22,-1,34.9,26.2
2021,3,23,0,33,25.5
2021,3,24,0,33.6,24.9
2021,3,25,0,34.5,24.4
2021,3,26,0,34.7,25.8
2021,3,27,0,34.6,25.7
2021,3,28,0,35.2,26.9
2021,3,29,0,34.8,25.5
2021,3,30,0,35.3,25.6
2021,3,31,0,34.7,25.5
2021,4,1,0,34.6,24.1
2021,4,2,0,34.4,23.8
2021,4,3,0,34.9,24.2
2021,4,4,0.5,34.2,25.2
2021,4,5,0.5,34.8,25.6
2021,4,6,0,34.8,25.3
2021,4,7,0,33.2,26.3
2021,4,8,0,33.4,26.7
2021,4,9,-1,33,25.3
2021,4,10,0,34.1,24.7
2021,4,11,0,35.1,24.7
2021,4,12,0,34.5,25.9
2021,4,13,0,33.5,27.2
