YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,30,25.7
2021,1,2,0,31,26.5
2021,1,3,9,28.8,26.2
2021,1,4,5,30.7,25.6
2021,1,5,-1,30.1,26
2021,1,6,0,29.5,26.4
2021,1,7,7.5,31,26
2021,1,8,0,28.5,26.5
2021,1,9,12,27.4,25
2021,1,10,6,26.5,25.5
2021,1,11,2.5,26.5,25
2021,1,12,0,27.4,25.3
2021,1,13,0,29.2,26
2021,1,14,0,30.5,26.1
2021,1,15,1,30.5,26.5
2021,1,16,6.5,27.6,25.5
2021,1,17,0,28.4,25.8
2021,1,18,2,29,25
2021,1,19,8,27.5,25.7
2021,1,20,0,29,26
2021,1,21,47.5,29.4,24.3
2021,1,22,0,31.2,25
2021,1,23,0,30,25.3
2021,1,24,0,30.5,25.5
2021,1,25,0,30.5,25.7
2021,1,26,0,30.5,26
2021,1,27,4.5,30.5,26
2021,1,28,2.5,28,25.6
2021,1,29,2,27.6,25.2
2021,1,30,-1,26.8,24.8
2021,1,31,-1,29.5,25
2021,2,1,2.5,28.4,25
2021,2,2,19,27.8,24.4
2021,2,3,13.5,26.2,25
2021,2,4,7.5,29.5,25.2
2021,2,5,5,28,26
2021,2,6,0,30,25.6
2021,2,7,23.5,30.2,24.5
2021,2,8,5.5,26,24.5
2021,2,9,12.5,28,24.4
2021,2,10,18,29,24.5
2021,2,11,10,29.5,26
2021,2,12,0,30.5,26
2021,2,13,10,30.5,26
2021,2,14,21,27.5,24.8
2021,2,15,0,29,25.5
2021,2,16,0,29.8,25.6
2021,2,17,0.5,29,25.5
2021,2,18,4,30,25.4
2021,2,19,0,28.6,25.5
2021,2,20,0,26.7,25
2021,2,21,4,27.5,25.2
2021,2,22,3.5,26.5,24.2
2021,2,23,0,30.5,25
2021,2,24,0,30.8,26
2021,2,25,0,30.5,26
2021,2,26,0,31,26
2021,2,27,0,31.6,26.6
2021,2,28,0,31.5,26.8
2021,3,1,0,32,26.7
2021,3,2,0,31.5,26.6
2021,3,3,0,32,26.5
2021,3,4,0,30.2,26
2021,3,5,0,31,26.2
2021,3,6,0,30.9,26.3
2021,3,7,1,31.6,26
2021,3,8,0,32,27
2021,3,9,2.5,31.2,25.9
2021,3,10,2,30.4,25.6
2021,3,11,4.5,27.8,25
2021,3,12,22.5,29,25
2021,3,13,57,28,25
2021,3,14,27.5,28.2,25.6
2021,3,15,0,30.4,25
2021,3,16,0,31.1,26.6
2021,3,17,0,31.5,26.2
2021,3,18,0,31.6,26.5
2021,3,19,0,32,26.8
2021,3,20,2,32,26.5
2021,3,21,0,31.2,27.1
2021,3,22,0,31.8,27.2
2021,3,23,9,32.2,25.7
2021,3,24,-1,30.5,25.5
2021,3,25,0.5,30.7,26.5
2021,3,26,1.5,30.7,27
2021,3,27,0,32,27
2021,3,28,0,31.4,26.9
2021,3,29,0,31.5,26.5
2021,3,30,0,31.6,26.6
2021,3,31,13.5,29.5,26.3
2021,4,1,0,32,27
2021,4,2,0,31.2,27.1
2021,4,3,0,31.4,26.9
2021,4,4,0,30.9,26.6
2021,4,5,0,31.2,27
2021,4,6,5.5,31.5,26.5
2021,4,7,-1,30.5,26.5
2021,4,8,7,30.9,26.1
2021,4,9,0.5,31.1,26.6
2021,4,10,6,31.5,27
2021,4,11,-1,31.5,26.8
2021,4,12,0,31.5,26.9
2021,4,13,0,32,27
2021,4,14,2.5,31.7,25.9
2021,4,15,0,31.5,26.6
2021,4,16,1.5,30.7,26.2
2021,4,17,23.5,31.5,26.5
2021,4,18,1,30,26.4
2021,4,19,0,31.5,26.6
2021,4,20,0.5,31.6,25
2021,4,21,0,32.4,25.5
2021,4,22,0,31.7,26.1
2021,4,23,0,31.5,25.5
2021,4,24,0,32.4,27
2021,4,25,0,32.5,27
2021,4,26,-1,30.9,26.4
2021,4,27,0,31.2,26.4
2021,4,28,0,30.7,26.3
2021,4,29,0,31.2,25.4
2021,4,30,0,32,27
2021,5,1,0,32.4,27
2021,5,2,0,32.5,27.3
2021,5,3,0,31.8,27.1
2021,5,4,-1,30.8,27
2021,5,5,0,32.2,27.4
