YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,34.5,21.5
2021,1,2,1.5,35,22
2021,1,3,5.2,31.8,20.5
2021,1,4,0,34.4,20.9
2021,1,5,0,34.3,21.7
2021,1,6,0,35,20
2021,1,7,0,35,21.5
2021,1,8,0,35,21.8
2021,1,9,0,34.3,22.3
2021,1,10,0,32,20.7
2021,1,11,-1,32.8,20.6
2021,1,12,0,32.7,19.5
2021,1,13,0,33.4,19.8
2021,1,14,0,33.3,21.1
2021,1,15,0,33,19.8
2021,1,16,1.8,33.3,20
2021,1,17,3.5,32.2,20.5
2021,1,18,-1,33.5,22
2021,1,19,-1,32.8,20.5
2021,1,20,0,32.8,21.9
2021,1,21,5.5,33.8,20.2
2021,1,22,-1,32,19.7
2021,1,23,0,32.3,20.2
2021,1,24,0,32.7,19.8
2021,1,25,0,34.2,18
2021,1,26,0,33.1,15.6
2021,1,27,1.8,33,20.5
2021,1,28,-1,33.4,21
2021,1,29,0,34,21.2
2021,1,30,0,33.7,19.8
2021,1,31,0,34,18.4
2021,2,1,0,34.6,18.5
2021,2,2,0,33.8,21.6
2021,2,3,0,34.7,21.5
2021,2,4,0,33,20.7
2021,2,5,1.6,34.5,21.1
2021,2,6,0,34.5,21
2021,2,7,4.1,35.5,21
2021,2,8,0.4,32.7,21.1
2021,2,9,-1,34.4,21
2021,2,10,-1,33.4,21.6
2021,2,11,-1,32.3,20.5
2021,2,12,0,32.8,20.9
2021,2,13,2.1,33.6,20.5
2021,2,14,0,32.8,19.5
2021,2,15,0,32.5,19
2021,2,16,0,34.3,18.6
2021,2,17,-1,33.2,18.7
2021,2,18,0,34.8,20.4
2021,2,19,0,34.3,19.8
2021,2,20,0,33.2,18.2
2021,2,21,-1,31.5,20.4
2021,2,22,1.4,34,20.8
2021,2,23,0,33.5,19.6
2021,2,24,0,35.8,20.5
2021,2,25,0,35.8,17.6
2021,2,26,0,33.8,19.2
2021,2,27,1.8,33.7,19.8
2021,2,28,0,35,21
