YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,-1,27.6,23.3
2021,1,2,0,29.8,24
2021,1,3,44.2,26.4,23.2
2021,1,4,0.8,31.6,24
2021,1,5,0.3,29.4,21.8
2021,1,6,0,32,22.6
2021,1,7,-1,29.4,22
2021,1,8,0,30,24
2021,1,9,0,29.8,23.2
2021,1,10,0,28.8,21.6
2021,1,11,0,27.6,23.2
2021,1,12,0,29.6,20.6
2021,1,13,0,28.2,22.4
2021,1,14,0,30,24
2021,1,15,0,30.2,23
2021,1,16,0,29.6,23.4
2021,1,17,1.5,29.8,23.7
2021,1,18,0,29,24.2
2021,1,19,-1,29,24.3
2021,1,20,72.4,28,23.8
2021,1,21,0,30.4,23.8
2021,1,22,14.6,31.4,24.2
2021,1,23,0,29.6,24.2
2021,1,24,37.2,31,24
2021,1,25,0.2,31,23
2021,1,26,2,29.2,24
2021,1,27,6,29.2,23.5
2021,1,28,0,29.6,22
2021,1,29,0,29.6,22.2
2021,1,30,0,29,19.9
2021,1,31,0.4,29.8,21.4
2021,2,1,0,30,21.4
2021,2,2,0,30,21.6
2021,2,3,0,31.2,22.4
2021,2,4,0,30.8,24
2021,2,5,0,31,24.1
2021,2,6,-1,30.8,22.6
2021,2,7,0,33,22.5
2021,2,8,-1,31.2,24.5
2021,2,9,5.4,31,23.5
2021,2,10,3.2,29,23.2
2021,2,11,-1,31.6,24.8
2021,2,12,0.3,32.2,22.9
2021,2,13,1,28,23
2021,2,14,0,31,24
2021,2,15,1.6,28.6,21.8
2021,2,16,0.4,29.8,21
2021,2,17,0,31.4,22.7
2021,2,18,0,30.8,22.8
2021,2,19,0,28.4,21
2021,2,20,0,27.8,19.3
2021,2,21,0.2,31,22
2021,2,22,6.1,27,23.6
2021,2,23,-1,31.8,23.3
2021,2,24,-1,30,23.6
2021,2,25,0,33.6,22.3
2021,2,26,0,34.4,25.1
2021,2,27,0,32,24.5
2021,2,28,8.4,31,23.8
2021,3,1,-1,33,23.2
2021,3,2,0.4,32.2,24.5
2021,3,3,-1,32.2,23.6
2021,3,4,0,31.8,24
2021,3,5,0,33.8,22.6
2021,3,6,0,33,22.6
2021,3,7,0,32.8,23.8
2021,3,8,0.6,32.8,23.8
2021,3,9,-1,32.2,22
2021,3,10,0,32.2,22
2021,3,11,0,32.8,23.6
2021,3,12,2,30.9,23.6
2021,3,13,-1,30,24
2021,3,14,0.2,31.2,24
2021,3,15,2.8,31,24
2021,3,16,0,33.4,25.8
2021,3,17,63,34.2,25.6
2021,3,18,1.6,33.8,24.7
2021,3,19,-1,31.5,24.5
2021,3,20,-1,31,24
2021,3,21,9,31.8,24.8
2021,3,22,-1,33,24.7
2021,3,23,-1,31.6,23.6
2021,3,24,0,33.2,23.2
2021,3,25,-999,-999,-999
2021,3,26,-999,-999,-999
2021,3,27,-999,-999,-999
2021,3,28,-999,-999,-999
2021,3,29,0,33.9,23.1
2021,3,30,0,34,23.5
2021,3,31,-1,34,24.5
2021,4,1,0,34.7,22
2021,4,2,0,34.8,22
2021,4,3,0,34.2,22.7
2021,4,4,1.1,33.8,24
2021,4,5,-1,33.8,24.8
2021,4,6,0,33.4,24
2021,4,7,0,31.4,25.7
2021,4,8,-1,31.8,25
2021,4,9,0,33,23.8
2021,4,10,0,33.4,24.4
2021,4,11,0,32.3,23
2021,4,12,-1,33.6,23.6
2021,4,13,0.4,32.8,24.5
2021,4,14,0,33,24.7
2021,4,15,-1,32.4,25.1
2021,4,16,0,33.8,23
2021,4,17,0,32.6,25.2
2021,4,18,0,32.6,25.3
2021,4,19,53,34,24.6
2021,4,20,-1,32.5,25.8
2021,4,21,0,31.8,25.6
2021,4,22,1.8,33.2,26
2021,4,23,0,32.7,25.6
2021,4,24,0,33,25.4
2021,4,25,-1,33.4,25.1
2021,4,26,2.8,30,24.4
2021,4,27,-1,30.2,22.8
2021,4,28,0,32.1,24.6
2021,4,29,0,33,25.7
2021,4,30,0,34.2,25.4
2021,5,1,0,34.7,23.4
2021,5,2,0,34.8,24.6
2021,5,3,-1,34.4,24
2021,5,4,0,35.2,25.6
2021,5,5,0,35.2,24.8
2021,5,6,0,35.3,26.6
2021,5,7,-1,34.4,25
2021,5,8,-1,34.2,25.2
2021,5,9,0.6,34.8,26
2021,5,10,-1,33.8,27
2021,5,11,-1,34.6,26
2021,5,12,0,34.8,26.6
2021,5,13,0,36.2,26
2021,5,14,0,36.2,27.1
2021,5,15,0,35.7,26.4
2021,5,16,0,36.6,25.4
2021,5,17,0,36.6,27.4
2021,5,18,0,34.8,27.1
2021,5,19,0,36,26.2
2021,5,20,0,35.8,27.7
2021,5,21,-1,34.2,26.8
2021,5,22,-1,35,26.5
2021,5,23,0.8,34.8,25.8
2021,5,24,10,34,25.3
2021,5,25,-1,35.6,25.1
2021,5,26,0,34.8,26.6
2021,5,27,0,35,26
2021,5,28,0.4,33.4,26.8
2021,5,29,0,36.2,27
2021,5,30,1.1,35.4,26.3
2021,5,31,3.8,35.4,26.8
2021,6,1,3.6,35.6,26.5
2021,6,2,50.2,29.6,25.6
2021,6,3,1,31,26.2
2021,6,4,-1,33.4,25.6
2021,6,5,0,33.2,27.2
2021,6,6,0,32,27.8
2021,6,7,4.9,32.8,25.8
2021,6,8,48,30,25.2
2021,6,9,15.6,29,24.4
2021,6,10,25.2,33.2,25.3
2021,6,11,1,32.4,25.2
2021,6,12,-1,32.4,24.6
2021,6,13,-1,33,25.6
2021,6,14,0,33.2,26.7
2021,6,15,0,32.6,27.4
2021,6,16,0,33.4,27.4
2021,6,17,0,34.4,26.3
2021,6,18,0,34,26.5
2021,6,19,0,33,26
2021,6,20,17.4,32.4,25.6
2021,6,21,13.6,28.3,25.8
2021,6,22,4.8,31.7,24.8
2021,6,23,0,32.6,25.2
2021,6,24,-1,32.4,25.6
2021,6,25,0.1,32.2,24.4
2021,6,26,0,33.8,26.8
2021,6,27,33.6,32.4,24
2021,6,28,0.1,33.7,24.8
2021,6,29,0,34,25.5
2021,6,30,7.6,33.6,26.3
2021,7,1,4.3,34.6,25
2021,7,2,4,32,24
2021,7,3,44,29,24.8
2021,7,4,10.6,31.8,24.8
2021,7,5,2.8,32.2,25.8
2021,7,6,15,31.8,24.4
2021,7,7,-1,32.5,26.2
2021,7,8,0.6,33.1,25.2
2021,7,9,16.8,31.3,25.4
2021,7,10,1.2,32.2,25.2
2021,7,11,-1,34,25.6
2021,7,12,6.4,31.8,25
2021,7,13,23.4,31.3,24.2
2021,7,14,2,32.6,24.4
2021,7,15,-1,32,25.4
2021,7,16,41.8,32.4,25.4
2021,7,17,-1,32.2,26.5
2021,7,18,12.6,31,25.8
2021,7,19,9.6,31,25.7
2021,7,20,28.4,27.6,25.5
2021,7,21,47.6,26.3,25.2
2021,7,22,101.4,26.7,24
2021,7,23,189,29.8,24.4
2021,7,24,130.7,27.2,24
2021,7,25,26.4,28.8,25.6
2021,7,26,10,30.6,26.5
2021,7,27,32.4,29.3,25.8
2021,7,28,39.5,28.8,24.2
2021,7,29,12.2,28.8,24.3
2021,7,30,4.2,31.8,26
2021,7,31,6.8,30.4,27.2
2021,8,1,7.6,30.6,25.6
2021,8,2,12.6,31.2,26
2021,8,3,1,31,27.6
2021,8,4,0.9,31.7,28.4
2021,8,5,2.2,31.4,26.8
2021,8,6,0,31,27
2021,8,7,0,32.2,27.4
2021,8,8,0,32.6,25.4
2021,8,9,29.2,32,25.5
2021,8,10,12.4,30.6,24.4
2021,8,11,-1,30.5,25
2021,8,12,0,31.8,26.4
2021,8,13,0.4,33.8,24.8
2021,8,14,20.6,31.4,24.9
2021,8,15,0.4,31,24.4
2021,8,16,0,33,24.7
2021,8,17,8.2,31.8,24.6
2021,8,18,7.4,32.9,24.4
2021,8,19,4,33,24.5
2021,8,20,-1,32.4,25.6
2021,8,21,27.8,32,24
2021,8,22,12.8,33.8,24.4
2021,8,23,1,32.6,25.8
2021,8,24,2.2,29.6,23.4
2021,8,25,13.4,31.5,24.2
2021,8,26,15.2,29.1,24.6
2021,8,27,16,31.4,24.5
2021,8,28,19,31.2,25.4
2021,8,29,23.6,31.8,24.6
2021,8,30,12.8,31.8,24.2
2021,8,31,0.4,32.2,25.4
2021,9,1,0.6,31.5,24.4
2021,9,2,0.4,33,24.7
2021,9,3,70.5,33.2,24.5
2021,9,4,3.4,32,25.6
2021,9,5,4,31.8,24.8
2021,9,6,3.2,33,24.2
2021,9,7,62.2,29.2,24.4
2021,9,8,41.2,27.8,24.4
2021,9,9,0,32.2,26.2
2021,9,10,41.6,30.4,25
2021,9,11,33.8,29,24.8
2021,9,12,3.3,29,24.1
2021,9,13,-1,32.2,24.6
2021,9,14,0,32.4,24.8
2021,9,15,25.4,32.8,24.6
2021,9,16,21.2,31.9,24.4
2021,9,17,1,32.3,25.5
2021,9,18,1.4,32,24.8
2021,9,19,4,27.2,24.5
2021,9,20,15.4,29.6,25
2021,9,21,0.6,32.2,25.2
2021,9,22,0,33.6,26
2021,9,23,25.8,33.6,24.2
2021,9,24,6.6,32.2,24.2
2021,9,25,0,32.4,25.8
2021,9,26,1.5,32.8,25.7
2021,9,27,0.8,30.8,25.6
2021,9,28,-1,33.8,26.2
2021,9,29,22,32.3,26
2021,9,30,10.2,29.4,25.4
2021,10,1,0,33.2,25
2021,10,2,2.6,32,25.2
2021,10,3,19,30,24.2
2021,10,4,3.8,31.8,24.4
2021,10,5,5.4,28.4,25.2
2021,10,6,0.4,30.1,25.3
2021,10,7,-1,31.8,25.2
2021,10,8,-1,31.7,25.6
2021,10,9,0.4,32.6,25.6
2021,10,10,0.8,32.8,25.4
2021,10,11,7.4,31.4,27.2
2021,10,12,10.1,30.2,25.9
2021,10,13,1.8,31.7,25.5
2021,10,14,5.6,29.4,25
2021,10,15,28.8,31,25.3
2021,10,16,1,33.2,24.5
2021,10,17,0.3,33.6,25.8
2021,10,18,0,28.7,23.4
2021,10,19,0,33,24.4
2021,10,20,-1,32.6,25.4
2021,10,21,6,32,23.5
2021,10,22,0,31.5,24.4
2021,10,23,5.2,31.6,25
