YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,5.2,30,23.7
2021,1,2,29.2,28,24
2021,1,3,17.8,29.4,23.5
2021,1,4,7.9,29,22.5
2021,1,5,12.2,30.4,23.6
2021,1,6,35.6,27.7,23.4
2021,1,7,54,26.5,20
2021,1,8,0.5,29,23.4
2021,1,9,0,30.8,25
2021,1,10,32.9,29.4,23.4
2021,1,11,105.8,25.2,19
2021,1,12,97.4,26,18
2021,1,13,11.2,28.8,23.5
2021,1,14,4.3,27.6,19.5
2021,1,15,-1,29.6,23
2021,1,16,27.6,29.2,24.2
2021,1,17,1.7,29,23.6
2021,1,18,117.4,26,23.5
2021,1,19,4,28.4,23.6
2021,1,20,5,30.9,24
2021,1,21,0,30,24
2021,1,22,-1,30.4,24.2
2021,1,23,0,32,24.5
2021,1,24,2.9,30.8,25
2021,1,25,0.8,31.2,24
2021,1,26,11.6,29.2,22.6
2021,1,27,0,30.2,23.6
2021,1,28,30,29.4,23.5
2021,1,29,5.5,29.5,24.3
2021,1,30,46.7,29,22.5
2021,1,31,30.7,29.8,23
2021,2,1,33.2,26.2,23.5
2021,2,2,4.1,28.6,22.6
2021,2,3,22.4,29.8,23.5
2021,2,4,5.4,31.2,24.5
2021,2,5,0.2,32,22.2
2021,2,6,21.4,30.5,23.4
2021,2,7,67.2,29.2,22
2021,2,8,14.8,28.8,23.5
2021,2,9,8.6,30,24.2
2021,2,10,0.2,31.2,24.8
2021,2,11,0,30.6,20.5
2021,2,12,0,30.5,24
2021,2,13,0.2,31.7,24.2
2021,2,14,5.6,30,24.9
2021,2,15,18.6,30,23
2021,2,16,4.5,30,23
2021,2,17,4.7,30.4,23.8
2021,2,18,1.8,28.2,25
2021,2,19,4.3,28.3,23.2
2021,2,20,52.7,25.7,21.5
2021,2,21,70.3,25.6,21
2021,2,22,0,30,24.5
2021,2,23,0,31.8,23.5
2021,2,24,-1,31.6,24
2021,2,25,0,31.2,24
2021,2,26,-1,30,24.2
2021,2,27,0.5,31.9,25.4
2021,2,28,31,28,23.5
2021,3,1,9.6,31,24
2021,3,2,0.8,31.5,24
2021,3,3,0,31,24.5
2021,3,4,0,32.2,23.6
2021,3,5,0.2,31,24.3
2021,3,6,6.8,31.8,23.4
2021,3,7,9.6,29.2,23.5
2021,3,8,9.2,28,23.3
2021,3,9,17.1,29,23.3
2021,3,10,100.8,27.8,23
2021,3,11,38.2,28.6,23.8
2021,3,12,8.8,29.8,23.7
2021,3,13,20.3,30.8,22.8
2021,3,14,0,32,24.5
2021,3,15,0,32,24.8
2021,3,16,0,31.3,24.4
2021,3,17,0.6,31.8,25.5
2021,3,18,-1,32,24
2021,3,19,2.6,32,24
2021,3,20,30.7,29.5,24.7
2021,3,21,3.8,31,24.5
2021,3,22,0.5,32.4,24.5
2021,3,23,12.8,31.6,23.5
2021,3,24,8.8,31.4,24
2021,3,25,10.1,31,24.5
2021,3,26,5.3,31,24.3
2021,3,27,35.3,28.6,23.2
2021,3,28,0.4,31.6,23.5
2021,3,29,0.2,32,25
2021,3,30,30.6,27.4,23.1
2021,3,31,45.4,30,24.3
2021,4,1,39,26.4,23.5
2021,4,2,1.6,30.8,23.6
2021,4,3,10.9,30.4,23
2021,4,4,3.8,31.8,24.8
2021,4,5,0,31,24
2021,4,6,1.8,31.2,23.6
2021,4,7,0,31.7,24.1
2021,4,8,0,31,24.5
2021,4,9,0,31,24.2
2021,4,10,0,31.7,23.5
2021,4,11,15.8,30,24.6
2021,4,12,-1,31,24
2021,4,13,1.2,31.6,24
2021,4,14,0.5,31.4,24.4
2021,4,15,0.2,32,23.5
2021,4,16,24.6,31.4,22.5
2021,4,17,7.3,30,24
2021,4,18,-1,28.7,25.5
2021,4,19,0,31,21
2021,4,20,0,31,23.2
2021,4,21,0,33.6,25.5
2021,4,22,2.4,34.8,22.5
2021,4,23,0,32.6,25
2021,4,24,0,33.2,23
2021,4,25,10,32.6,25
2021,4,26,0.2,31.2,22
2021,4,27,13.2,30.8,23.7
2021,4,28,12.2,29,22.5
2021,4,29,0,32,24
2021,4,30,0,32.2,24.4
2021,5,1,0.8,32.4,25.3
2021,5,2,4.7,31.8,24
2021,5,3,4.9,31.6,21.5
2021,5,4,6.2,31.6,25.2
2021,5,5,4.7,30.8,23
2021,5,6,5,30.6,23.7
2021,5,7,37.9,32,24.2
2021,5,8,14.6,30.4,24.4
2021,5,9,10.5,31,23
2021,5,10,3.2,30,23
2021,5,11,1.5,32.8,24
2021,5,12,15,31.2,23.4
2021,5,13,72.8,28.2,25
2021,5,14,52.8,29,23
2021,5,15,3.9,30.9,24
2021,5,16,4.8,32,24.5
2021,5,17,31,32,25
2021,5,18,23.5,29.5,24.4
2021,5,19,16.1,32,24.8
2021,5,20,1.2,31,25.4
2021,5,21,0,31.5,24
2021,5,22,0,33.2,24.9
2021,5,23,0.8,32.2,23.5
2021,5,24,50,32.2,25
2021,5,25,31.3,30,24.1
2021,5,26,13.5,30.9,24.8
2021,5,27,0,33,25
2021,5,28,0,33,24.7
2021,5,29,2.1,33.4,25.9
2021,5,30,0.6,32,25.4
2021,5,31,20.6,32.4,25
2021,6,1,75.2,28,23.8
2021,6,2,0,32.1,24
2021,6,3,8.8,33.6,23
2021,6,4,2.9,32,24
2021,6,5,0,32.4,23
2021,6,6,7,31,21
2021,6,7,0,33,24.4
2021,6,8,6.7,33,24.4
2021,6,9,4.1,32.6,22.5
2021,6,10,0,33,25.2
2021,6,11,2.5,32.2,24
2021,6,12,7.9,30.5,23.9
2021,6,13,0,32,22
2021,6,14,0,32.2,25
2021,6,15,0,32.3,23.5
2021,6,16,0,33.2,23
2021,6,17,0,33.6,25.5
2021,6,18,0,33.8,24.4
2021,6,19,0,33.4,25.5
2021,6,20,0,33,24.6
2021,6,21,0,32,25.4
2021,6,22,0.1,34,24.5
2021,6,23,0,33.1,25
2021,6,24,0.2,32,24.7
2021,6,25,2.4,33.5,21.5
2021,6,26,1.7,32.6,24
2021,6,27,0,31.4,24.8
2021,6,28,0,33,25.5
2021,6,29,0,34,24.5
2021,6,30,0,33,24
2021,7,1,1.8,33,25.3
2021,7,2,-1,33,24.3
2021,7,3,19.1,32.8,24.6
2021,7,4,0.4,31.5,25.2
2021,7,5,2.4,30.8,22
2021,7,6,0.5,28.5,24.5
2021,7,7,6.6,29,23.5
2021,7,8,24.1,31,19.5
2021,7,9,3.3,32,23.6
2021,7,10,0.9,32.1,24
2021,7,11,-1,32.6,24
2021,7,12,42.6,33,23
2021,7,13,2.5,28.5,23
2021,7,14,0.3,31.7,22.5
2021,7,15,28.2,33.6,18
2021,7,16,8,29.8,24
2021,7,17,0,32,24
2021,7,18,0,32.8,26.5
2021,7,19,0,32.8,18
2021,7,20,0,33,25.8
2021,7,21,0,33.3,26.8
2021,7,22,0,32.4,20
2021,7,23,0,34.6,23.5
2021,7,24,0,34.5,23.4
2021,7,25,0,35,25.4
2021,7,26,0,34.4,28
2021,7,27,0,34.6,24
2021,7,28,0,34.4,26.4
2021,7,29,0,34.8,25.4
2021,7,30,0,33.7,24.7
2021,7,31,0,33.4,26.7
2021,8,1,0,33.8,25
2021,8,2,0,34,26
2021,8,3,0,34,26
2021,8,4,0,35.1,25.8
2021,8,5,0,35,25
2021,8,6,0,35.4,24.7
2021,8,7,0,35.5,22
2021,8,8,15.5,30,24
2021,8,9,4.2,27,23.6
2021,8,10,0,32.4,23
2021,8,11,0,32.9,24.8
2021,8,12,3.8,33,25.2
2021,8,13,0.2,31.2,23.2
2021,8,14,8.7,31.6,22.8
2021,8,15,0,31.6,23
2021,8,16,14.1,31.6,24
2021,8,17,0.2,30.6,23.1
2021,8,18,0,33.5,24.2
2021,8,19,0,34,25
2021,8,20,-1,31.2,23.4
2021,8,21,-1,32.1,24.5
2021,8,22,2.3,31.2,21.2
2021,8,23,8.3,32.6,23.7
2021,8,24,0,31.2,23.6
2021,8,25,55.5,31.5,24.2
2021,8,26,0.4,30,24
2021,8,27,44.8,31.8,22.4
2021,8,28,0.4,29.6,22.5
2021,8,29,0.2,31.8,24.4
2021,8,30,0.2,31.6,24.8
2021,8,31,0,31.2,24.2
2021,9,1,0.2,31.2,23.8
2021,9,2,0,33.6,25
2021,9,3,0,35,23.2
2021,9,4,62,34.6,23.5
2021,9,5,4.4,32,24.8
2021,9,6,42.7,27,23.6
2021,9,7,1,31.7,23.5
2021,9,8,0,33.5,21.6
2021,9,9,0,32,21
2021,9,10,-1,32.7,23.1
2021,9,11,0,34.1,24.8
2021,9,12,1.2,32.6,24.2
2021,9,13,11.4,32,24.5
2021,9,14,22.2,29,23.9
2021,9,15,1,30.8,22
2021,9,16,38.4,29.8,23.8
2021,9,17,0.4,31,21.5
2021,9,18,3.2,32.7,21.5
2021,9,19,3.4,31,22
2021,9,20,1.4,30,23.4
2021,9,21,0,31.3,23.5
2021,9,22,5,31.6,24
2021,9,23,0.2,32,25
2021,9,24,5.9,31,21.7
2021,9,25,3.2,30.9,21.4
2021,9,26,0,32.7,24.3
2021,9,27,3,34,26.5
2021,9,28,0,33.2,23
2021,9,29,0,34.4,24.5
2021,9,30,0,34,25.5
2021,10,1,0,33,23.6
2021,10,2,0.4,32.4,24.2
2021,10,3,107.7,29,22.6
2021,10,4,16.6,31.4,24
2021,10,5,69,30.5,22.5
2021,10,6,0,32.8,24.9
2021,10,7,0.8,31.8,25
2021,10,8,16,28,24
2021,10,9,13.3,28.6,24
2021,10,10,0.6,31,24.7
2021,10,11,0.6,30,24.5
2021,10,12,5,33.6,24
2021,10,13,0,33.8,20.9
2021,10,14,12.6,32,23.3
2021,10,15,1.2,30.4,23.2
2021,10,16,0,32.8,23.9
2021,10,17,1,32,23.5
2021,10,18,0,32.8,25
2021,10,19,0.3,32.4,23.4
2021,10,20,0.4,31.7,24.5
2021,10,21,4.6,32,24.7
2021,10,22,14.5,28.6,23
2021,10,23,3.5,30.9,23.2
2021,10,24,-1,31,23.2
2021,10,25,-1,33.3,25.5
2021,10,26,36.5,30.7,23
2021,10,27,20.1,28.8,22.8
2021,10,28,11.3,31,24.5
2021,10,29,0.4,31.4,24
2021,10,30,320.9,29.9,20
2021,10,31,55.6,26.6,22.3
2021,11,1,42.6,28,23.5
2021,11,2,5.8,27.6,23.1
2021,11,3,0.8,29.7,23.4
2021,11,4,0,30.6,24.5
2021,11,5,2.5,32,22
2021,11,6,2.8,30.7,24.4
2021,11,7,0.6,32,24.2
2021,11,8,22.6,30.6,25
2021,11,9,75.8,28.2,22
2021,11,10,0.8,31.6,23.2
2021,11,11,6.8,31.9,25
2021,11,12,0.9,31,24
2021,11,13,7.9,30.5,23.4
2021,11,14,50,31.8,24.5
2021,11,15,5.6,29.6,25
2021,11,16,11.1,30,23.5
2021,11,17,10.4,30.6,23
2021,11,18,0,31,24.5
2021,11,19,0,32,23
2021,11,20,0,32.6,23.7
2021,11,21,0,31.7,23.6
2021,11,22,11.2,30,24.6
2021,11,23,15.8,32.4,23.5
2021,11,24,13,29.7,23.8
2021,11,25,2.4,31,24
2021,11,26,17.5,30,21
2021,11,27,5.2,30.9,24
2021,11,28,16.9,29,23.5
2021,11,29,0.7,31.2,24.5
2021,11,30,0.2,30.6,23.2
2021,12,1,0.6,30.8,20.6
2021,12,2,16.1,31.6,24.5
2021,12,3,2.9,26.9,22
2021,12,4,2.6,30.3,24.3
2021,12,5,4.7,27.6,23.4
2021,12,6,4.7,27.6,24.2
2021,12,7,9.2,29,23
2021,12,8,7.8,30,24.2
2021,12,9,110.3,26.5,24
2021,12,10,12.1,29,23.2
2021,12,11,5.8,31.4,23.9
2021,12,12,14.6,30.3,23.4
2021,12,13,36.2,29,23
2021,12,14,7.9,29,23.5
2021,12,15,153.1,27.9,23.2
2021,12,16,267.6,25.8,23
2021,12,17,0,32,24.6
2021,12,18,3.4,31.8,25.8
2021,12,19,7,32.2,25
2021,12,20,0.8,30.4,25.8
2021,12,21,0.5,30.4,25
2021,12,22,5.5,31.6,24.4
2021,12,23,3.4,32,24.5
2021,12,24,31.7,28,23.6
2021,12,25,15.4,28.8,23.4
2021,12,26,46.4,30.6,24.4
2021,12,27,8.4,27.6,23.7
2021,12,28,189.8,27,22.7
2021,12,29,13,28.2,23.4
2021,12,30,83.7,28.2,23.3
2021,12,31,115.8,26,22.6
2022,1,1,140.6,28.6,23
2022,1,2,42.6,27.4,23.4
2022,1,3,5,28.2,24.4
2022,1,4,5.8,29.8,23.6
2022,1,5,64.5,28.4,23.7
2022,1,6,0.4,29.5,23.8
2022,1,7,0,29.6,22.8
2022,1,8,6.2,29.4,23.6
2022,1,9,0.4,29,24.5
2022,1,10,-1,29,24.5
2022,1,11,0,30,25
2022,1,12,7.6,28.7,23.2
2022,1,13,8.6,27,22.2
2022,1,14,0,28,23.4
2022,1,15,37.2,29.4,22.9
2022,1,16,6.6,28.6,23.8
2022,1,17,30.3,28.5,23
2022,1,18,15.4,28.2,22.9
2022,1,19,1.5,30.2,23.2
2022,1,20,0.4,30.4,24.3
2022,1,21,2.8,31,24.2
2022,1,22,8.6,30,23.2
2022,1,23,19.5,26.8,23
2022,1,24,81.6,27.4,24
2022,1,25,59.8,27.8,24.5
2022,1,26,3,31,24.6
2022,1,27,4.5,29,24.3
2022,1,28,5,29.5,24.4
2022,1,29,0,29.6,24.7
2022,1,30,0,32.2,24.6
2022,1,31,0,30.6,25.2
2022,2,1,-1,31,24.8
2022,2,2,10.4,31,24.5
2022,2,3,6,31,18.6
2022,2,4,16.4,28,23.1
2022,2,5,8,30,24.5
2022,2,6,8.8,29,23.2
2022,2,7,2.3,31,24.5
2022,2,8,48,28,22.9
2022,2,9,98.2,28.7,23.6
2022,2,10,20.6,27.6,22.8
2022,2,11,29.6,27.5,23.6
2022,2,12,1.6,28.8,24.2
2022,2,13,1.2,30.4,24.1
2022,2,14,-1,30.6,24.2
2022,2,15,-1,31.5,24
2022,2,16,0,31,23.4
2022,2,17,5.2,31.8,24
2022,2,18,3.7,31,24.2
2022,2,19,6.3,31.2,24.5
2022,2,20,124.8,29.7,22
2022,2,21,14.3,30,23.6
2022,2,22,19,31.2,23
2022,2,23,20.4,30.4,19.2
2022,2,24,11.8,28.2,23
2022,2,25,5.8,30,24.2
2022,2,26,24,29.2,23.1
2022,2,27,44,30,23
2022,2,28,6.7,29.6,23.5
2022,3,1,4.1,31,23.7
2022,3,2,30.7,29.4,24.4
2022,3,3,16.3,27,24
2022,3,4,31.7,30.1,23.7
2022,3,5,95.2,28,22.4
2022,3,6,191.3,26.6,21.6
2022,3,7,3.5,30.2,22.5
2022,3,8,53.6,28.5,20
2022,3,9,18,28.2,22.5
2022,3,10,4.8,28.5,24.3
2022,3,11,0.3,31,24.5
2022,3,12,-1,31,22.6
2022,3,13,6.6,32,24.4
2022,3,14,9.6,29,24.6
2022,3,15,6.1,31,25.2
2022,3,16,7.2,31,23
2022,3,17,0,32.1,25
2022,3,18,-1,30.2,25
2022,3,19,-1,31,25.2
2022,3,20,12,28.2,24.6
2022,3,21,7,31.8,21
2022,3,22,9.4,31,23.9
2022,3,23,0,32,25
2022,3,24,11.6,31.2,22.5
2022,3,25,1.6,32.2,25
2022,3,26,28.8,31.2,23.5
2022,3,27,51.8,27.2,24
2022,3,28,0.4,29.8,25
2022,3,29,0,32,24.8
2022,3,30,7.5,29.6,22.4
2022,3,31,17.3,30.9,23.5
2022,4,1,26.9,31.2,22.8
2022,4,2,25.5,29,22.5
2022,4,3,23.6,30.6,21.9
