YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0,21.7,18.8
2021,1,2,1,23.5,19
2021,1,3,59.5,22.4,18.5
2021,1,4,5.3,24.6,20.5
2021,1,5,-1,22.8,20
2021,1,6,2,25,20
2021,1,7,1,24.7,19.8
2021,1,8,0,23.6,19.5
2021,1,9,0,23.2,18.5
2021,1,10,-1,21,18.3
2021,1,11,0,22,17.5
2021,1,12,0,25.2,18.4
2021,1,13,0,22.8,19.2
2021,1,14,0,24.5,19.5
2021,1,15,-1,24,19.3
2021,1,16,0,23.5,18.9
2021,1,17,3.9,23,19.5
2021,1,18,4.2,23,19.9
2021,1,19,14.4,21.4,19.9
2021,1,20,162.6,23.2,20.2
2021,1,21,-1,25.5,21.2
2021,1,22,0.5,26,20.8
2021,1,23,0,27,20.9
2021,1,24,0,25.8,20.9
2021,1,25,0,25.5,19.6
2021,1,26,13.4,24.5,20.5
2021,1,27,2.2,22.5,19.8
2021,1,28,0,23.6,18.9
2021,1,29,0,22.6,18.4
2021,1,30,0,21,17.5
2021,1,31,1.4,22,18.5
2021,2,1,0,23.3,18.8
2021,2,2,0,24,19
2021,2,3,-1,23.7,19.5
2021,2,4,0.5,24,19.2
2021,2,5,-1,23,19.4
2021,2,6,0,24.2,19.5
2021,2,7,-1,25.5,21
2021,2,8,1,23.7,20
2021,2,9,29.2,21.5,18.4
2021,2,10,1,22.5,19
2021,2,11,-1,25.8,20.5
2021,2,12,0,27.7,20.5
2021,2,13,0,23.8,19.2
2021,2,14,-1,24.5,19.5
2021,2,15,-1,23,18.6
2021,2,16,0,22.7,18.6
2021,2,17,2,25.2,18.8
2021,2,18,0,23.5,17.8
2021,2,19,0,20.8,17.4
2021,2,20,0,21.5,16.5
2021,2,21,-1,22.5,18.3
2021,2,22,24.8,22.3,19.9
2021,2,23,0.8,24.5,21.4
2021,2,24,0,26.5,20.4
2021,2,25,0,25.7,19.9
2021,2,26,0,27.8,20
2021,2,27,0,28.5,20.5
2021,2,28,0.2,25,20.8
2021,3,1,0,27.3,20.4
2021,3,2,0,27.4,20.6
2021,3,3,-1,24.3,20.4
2021,3,4,-1,23,20.3
2021,3,5,0,26,20.2
2021,3,6,0,27,19.3
2021,3,7,0,26.3,19.5
2021,3,8,0,25.5,20
2021,3,9,0,24.5,19.9
2021,3,10,0,25,20.5
2021,3,11,3,26,19.5
2021,3,12,5.9,24,19.3
2021,3,13,2.4,24,19.5
2021,3,14,3.7,23,20
2021,3,15,2,23.5,21
2021,3,16,0.2,27.5,21.2
2021,3,17,0.2,27.5,21.3
2021,3,18,0,28.4,21.5
2021,3,19,0,27.5,21.6
2021,3,20,0,29.5,21.3
2021,3,21,0,26.8,21.9
2021,3,22,4.5,27,20.4
2021,3,23,0,25,20.5
2021,3,24,0,24,20.5
2021,3,25,0,27.5,20.6
2021,3,26,0,25.9,20.8
2021,3,27,0,28.8,20.8
2021,3,28,0,28.5,20.9
2021,3,29,0,28,20.6
2021,3,30,0,29,21
2021,3,31,0,27.5,21
2021,4,1,0,27.8,19.7
2021,4,2,0,28,20.3
2021,4,3,0,28.3,19.5
2021,4,4,1.5,28.5,20.3
2021,4,5,0,27,20.5
2021,4,6,0,27.2,20
2021,4,7,0,24,20
2021,4,8,0,25.6,20.2
2021,4,9,0,27,20.8
2021,4,10,0,27,20.4
2021,4,11,0.5,27.5,19.7
2021,4,12,0.9,26.8,20.5
2021,4,13,7.3,27.5,21.1
2021,4,14,0,28.6,21
2021,4,15,-1,26,20.6
2021,4,16,0,28,20.6
2021,4,17,0,28.4,20.4
2021,4,18,0,27.9,20.9
2021,4,19,0,29.5,22
2021,4,20,0,27.8,22
2021,4,21,32,27,22
2021,4,22,8.2,28.5,21.5
2021,4,23,0,28.5,21
2021,4,24,0,28.5,21
2021,4,25,1.8,28.2,20.1
2021,4,26,2.8,23.4,20
2021,4,27,-1,25.1,19.6
2021,4,28,0,26,20.1
2021,4,29,0,29,21
2021,4,30,0,29.6,21.2
2021,5,1,0,30,20.6
2021,5,2,0,28.5,21.5
2021,5,3,1.4,27.1,22
2021,5,4,1.4,25.5,22.5
2021,5,5,0.8,29,22
2021,5,6,0.5,28,21.9
2021,5,7,0.3,27,21.8
2021,5,8,0,28,21.6
2021,5,9,0,29.5,21.5
2021,5,10,3.2,28,22.2
2021,5,11,0.2,27.9,21.9
2021,5,12,0.4,27.8,22.2
2021,5,13,0,27.8,21.6
2021,5,14,2,28.3,21.6
2021,5,15,1,28.5,21.7
2021,5,16,2,28,22.5
2021,5,17,4,29,23
2021,5,18,2.2,26.5,22.5
2021,5,19,0,27.4,22.6
2021,5,20,0,28.5,22.7
2021,5,21,0,30.2,22
2021,5,22,-1,30.4,22
2021,5,23,0,30,22.5
2021,5,24,0,30,22
2021,5,25,0,31,22
2021,5,26,-1,32,22.1
2021,5,27,0.3,30.5,22.5
2021,5,28,0,31.5,22.5
2021,5,29,0,32,22.5
2021,5,30,0.4,32.5,24
2021,5,31,0,31.3,23.5
2021,6,1,7,32.2,23.5
2021,6,2,49.4,24,22
2021,6,3,7.9,27,22
2021,6,4,0,28.4,22.8
2021,6,5,0,28.5,22
2021,6,6,0,27.5,22.5
2021,6,7,4.4,30,22
2021,6,8,11.6,26.5,21.7
2021,6,9,140,26.8,21
2021,6,10,0,27.5,22
2021,6,11,3,26.5,21.7
2021,6,12,-1,26,21.6
2021,6,13,0.6,27.3,21.8
2021,6,14,0,27.5,22
2021,6,15,0,28,22.4
2021,6,16,0,30,22.2
2021,6,17,0,30.5,22.8
2021,6,18,0,28.6,22.6
2021,6,19,0,28.5,22.2
2021,6,20,8,26.5,21
2021,6,21,2,25,21.1
2021,6,22,4.8,26.8,20.3
2021,6,23,2.6,28,21.4
2021,6,24,2.6,28,22
2021,6,25,4,24.5,21.8
2021,6,26,3,28.5,21.7
2021,6,27,0,28.5,22.7
2021,6,28,12,29,21.8
2021,6,29,0,29.5,22.4
2021,6,30,0,30,23
2021,7,1,7.8,28.3,21.8
2021,7,2,23.7,24.5,21.5
2021,7,3,81.3,24.8,21.3
2021,7,4,16,27,21.5
2021,7,5,4.2,28.5,21.5
2021,7,6,1.8,27.5,21.6
2021,7,7,0.2,28.3,21.9
2021,7,8,0.4,25.7,22.5
2021,7,9,5.8,26.5,21.8
2021,7,10,3,25.8,21.4
2021,7,11,0.6,26.3,22.3
2021,7,12,0,26.3,22.8
2021,7,13,8.2,27.6,21
2021,7,14,0,29,22
2021,7,15,0,29.3,21.5
2021,7,16,0,29.1,21.8
2021,7,17,23.6,28.3,21.6
2021,7,18,5.6,26.2,21.5
2021,7,19,37.4,24.8,21.5
2021,7,20,28.2,24.2,21
2021,7,21,39,22.8,20.3
2021,7,22,73,23,21
2021,7,23,159.2,23,20.8
2021,7,24,24.2,23,20.3
2021,7,25,3.2,24,21.3
2021,7,26,9,24.5,22.2
2021,7,27,97.8,24.5,21.8
2021,7,28,30.2,24,21.4
2021,7,29,1.6,23.5,21.1
2021,7,30,1,26.5,21.3
2021,7,31,0,24.8,21.7
2021,8,1,18.5,24.8,22.8
2021,8,2,7.1,25.2,22
2021,8,3,2,24.5,22.6
2021,8,4,-1,25,22.7
2021,8,5,9.6,26.8,22.5
2021,8,6,13.8,25.8,22
2021,8,7,2.6,26.3,21.8
2021,8,8,1.2,27.3,22
2021,8,9,0,26.9,22
2021,8,10,8.2,25.6,21
2021,8,11,0,25,21
2021,8,12,0,27.5,22
2021,8,13,0.5,27,22
2021,8,14,10.4,27.8,21.8
2021,8,15,3.7,25.8,21
2021,8,16,0,28.5,21.6
2021,8,17,0,27.4,21.7
2021,8,18,25.6,27.9,21.5
2021,8,19,33.2,28.5,22
2021,8,20,0.2,26.8,21.6
2021,8,21,0.6,26.3,21.5
2021,8,22,-1,28,21.8
2021,8,23,2.6,28,22
2021,8,24,7.8,26,21.4
2021,8,25,1,26.2,21.5
2021,8,26,5.1,23.2,21.2
2021,8,27,4.4,25.5,21.3
2021,8,28,4.3,27,21.5
2021,8,29,-1,26.5,21.5
2021,8,30,0.6,27.5,21.8
2021,8,31,-1,24.9,22.3
2021,9,1,1.2,24.9,21
2021,9,2,14.2,26,21
2021,9,3,87,26,21.5
2021,9,4,-1,28.2,21.6
2021,9,5,23,28,21.8
2021,9,6,11.8,28,21
2021,9,7,67,24.5,21
2021,9,8,65.8,23.5,21
2021,9,9,0,28,21.7
2021,9,10,4.4,25.3,21.2
2021,9,11,3.8,23.5,21.3
2021,9,12,9.2,23.6,21.7
2021,9,13,19.6,27.5,22.2
2021,9,14,0,29.2,22
2021,9,15,0,28.6,22.1
2021,9,16,28.6,28,20.6
2021,9,17,1.4,26.8,21
2021,9,18,3,28.1,21.2
2021,9,19,7.6,23.5,20.9
2021,9,20,3,25.8,21.8
2021,9,21,23.4,25.8,22
2021,9,22,0,25.5,21.8
2021,9,23,0,27.5,21.3
2021,9,24,0,26.5,21
2021,9,25,4,26.4,21.3
2021,9,26,10,28,22
2021,9,27,4.2,25.5,22
2021,9,28,9.4,28,22.5
2021,9,29,6.2,28,22
2021,9,30,16,26.4,22.6
2021,10,1,0,27.5,21.8
2021,10,2,7.2,28.2,21.3
2021,10,3,21.5,24.5,20.4
2021,10,4,4.4,24.5,20.8
2021,10,5,11.8,23.5,21
2021,10,6,0.8,25.3,21.7
2021,10,7,0,26,22
2021,10,8,15.6,27,21.5
