RUN_TIME,Demand
1/1/2022,21047
1/2/2022,21522
1/3/2022,25200
1/4/2022,26664
1/5/2022,27426
1/6/2022,29159
1/7/2022,29898
1/8/2022,29383
1/9/2022,28861
1/10/2022,32390
1/11/2022,33316
1/12/2022,33152
1/13/2022,32597
1/14/2022,31508
1/15/2022,30356
1/16/2022,29369
1/17/2022,32338
1/18/2022,33145
1/19/2022,33952
1/20/2022,34580
1/21/2022,34621
1/22/2022,34140
1/23/2022,32412
1/24/2022,34464
1/25/2022,33990
1/26/2022,34433
1/27/2022,37593
1/28/2022,37762
1/29/2022,36373
1/30/2022,34606
1/31/2022,37563
2/1/2022,36603
2/2/2022,37383
2/3/2022,38494
2/4/2022,37213
2/5/2022,36055
2/6/2022,33450
2/7/2022,37280
2/8/2022,38317
2/9/2022,37695
2/10/2022,37602
2/11/2022,37926
2/12/2022,36307
2/13/2022,33768
2/14/2022,38044
2/15/2022,38785
2/16/2022,38985
2/17/2022,39025
2/18/2022,38524
2/19/2022,36921
2/20/2022,35340
2/21/2022,38337
2/22/2022,38424
2/23/2022,37469
2/24/2022,38422
2/25/2022,37088
2/26/2022,36128
2/27/2022,35098
2/28/2022,36856
3/1/2022,38666
3/2/2022,39459
3/3/2022,39261
3/4/2022,39217
3/5/2022,37843
3/6/2022,34226
3/7/2022,36826
3/8/2022,38756
3/9/2022,38519
3/10/2022,38042
3/11/2022,38590
3/12/2022,38205
3/13/2022,36207
3/14/2022,40762
3/15/2022,40910
3/16/2022,41469
3/17/2022,42349
3/18/2022,42279
3/19/2022,40931
3/20/2022,37831
3/21/2022,40344
3/22/2022,39914
3/23/2022,41250
3/24/2022,42652
3/25/2022,42558
3/26/2022,40089
3/27/2022,36905
3/28/2022,39627
3/29/2022,42389
3/30/2022,43450
3/31/2022,42692
4/1/2022,42860
4/2/2022,39884
4/3/2022,36592
4/4/2022,40979
4/5/2022,40653
4/6/2022,39761
4/7/2022,39866
4/8/2022,38512
4/9/2022,35163
4/10/2022,32432
4/11/2022,32227
4/12/2022,32232
4/13/2022,33346
4/14/2022,31467
4/15/2022,30182
4/16/2022,33664
4/17/2022,34385
4/18/2022,40050
4/19/2022,41432
4/20/2022,42482
4/21/2022,43747
4/22/2022,43480
4/23/2022,41537
4/24/2022,40119
4/25/2022,43908
4/26/2022,44083
4/27/2022,43251
4/28/2022,42377
4/29/2022,43569
4/30/2022,41800
5/1/2022,38197
5/2/2022,42784
5/3/2022,41152
5/4/2022,44065
5/5/2022,43579
5/6/2022,43437
5/7/2022,42868
5/8/2022,40333
5/9/2022,37885
5/10/2022,43730
5/11/2022,45221
5/12/2022,46298
5/13/2022,45984
5/14/2022,42374
5/15/2022,38244
5/16/2022,42955
5/17/2022,44626
5/18/2022,44332
5/19/2022,44685
5/20/2022,45228
5/21/2022,42111
5/22/2022,38573
5/23/2022,43389
5/24/2022,44432
5/25/2022,44840
5/26/2022,46260
5/27/2022,42938
5/28/2022,40269
5/29/2022,37888
5/30/2022,40972
5/31/2022,41264
6/1/2022,43371
6/2/2022,43844
6/3/2022,42063
6/4/2022,41546
6/5/2022,36530
6/6/2022,41352
6/7/2022,43163
6/8/2022,43214
6/9/2022,43539
6/10/2022,43903
6/11/2022,39924
6/12/2022,37403
6/13/2022,42487
6/14/2022,42557
6/15/2022,43140
6/16/2022,44152
6/17/2022,44433
6/18/2022,42438
6/19/2022,39153
6/20/2022,43535
6/21/2022,41598
6/22/2022,39914
6/23/2022,41550
6/24/2022,42756
6/25/2022,41064
6/26/2022,37839
6/27/2022,41212
6/28/2022,41076
6/29/2022,41295
6/30/2022,41758
7/1/2022,42513
7/2/2022,40348
7/3/2022,38537
7/4/2022,41954
7/5/2022,41746
7/6/2022,39193
7/7/2022,40955
7/8/2022,40380
7/9/2022,37555
7/10/2022,36180
7/11/2022,40409
7/12/2022,41059
7/13/2022,41533
7/14/2022,41581
7/15/2022,42259
7/16/2022,40249
7/17/2022,37234
7/18/2022,40061
7/19/2022,41448
7/20/2022,42711
7/21/2022,42403
7/22/2022,42485
7/23/2022,40914
7/24/2022,37648
7/25/2022,40727
7/26/2022,42459
7/27/2022,43397
7/28/2022,44108
7/29/2022,43271
7/30/2022,39908
7/31/2022,37535
8/1/2022,40856
8/2/2022,42618
8/3/2022,43921
8/4/2022,41904
8/5/2022,40115
8/6/2022,37689
8/7/2022,34898
8/8/2022,40056
8/9/2022,40194
8/10/2022,40523
8/11/2022,42370
8/12/2022,42661
8/13/2022,39413
8/14/2022,35888
8/15/2022,41250
8/16/2022,42915
8/17/2022,42689
8/18/2022,42093
8/19/2022,41481
8/20/2022,38107
8/21/2022,37032
8/22/2022,40194
8/23/2022,41821
8/24/2022,42558
8/25/2022,42452
8/26/2022,42701
8/27/2022,41099
8/28/2022,39551
8/29/2022,40369
8/30/2022,43165
8/31/2022,44681
9/1/2022,45030
9/2/2022,45222
9/3/2022,42961
9/4/2022,40368
9/5/2022,43528
9/6/2022,43170
9/7/2022,43740
9/8/2022,44439
9/9/2022,42176
9/10/2022,40712
9/11/2022,39547
9/12/2022,45307
9/13/2022,45978
9/14/2022,45904
9/15/2022,44415
9/16/2022,42417
9/17/2022,42120
9/18/2022,40406
9/19/2022,45025
9/20/2022,46030
9/21/2022,45625
9/22/2022,45044
9/23/2022,44237
9/24/2022,40974
9/25/2022,36806
9/26/2022,41043
9/27/2022,42695
9/28/2022,42104
9/29/2022,42335
9/30/2022,41434
10/1/2022,40122
10/2/2022,38999
10/3/2022,43348
10/4/2022,43305
10/5/2022,43481
10/6/2022,43811
10/7/2022,44583
10/8/2022,41110
10/9/2022,39149
10/10/2022,42967
10/11/2022,44174
10/12/2022,45122
10/13/2022,45030
10/14/2022,44915
10/15/2022,41106
10/16/2022,39086
10/17/2022,42322
10/18/2022,43313
10/19/2022,44069
10/20/2022,43184
10/21/2022,43809
10/22/2022,43441
10/23/2022,39729
10/24/2022,42842
10/25/2022,42183
10/26/2022,40723
10/27/2022,41514
10/28/2022,38367
10/29/2022,33651
10/30/2022,35489
10/31/2022,37220
11/1/2022,37058
11/2/2022,40009
11/3/2022,42256
11/4/2022,42619
11/5/2022,42060
11/6/2022,39409
11/7/2022,43650
11/8/2022,44275
11/9/2022,43603
11/10/2022,42802
11/11/2022,42989
11/12/2022,41705
11/13/2022,39808
11/14/2022,43163
11/15/2022,43888
11/16/2022,43033
11/17/2022,42544
11/18/2022,40504
11/19/2022,38241
11/20/2022,36564
11/21/2022,41873
11/22/2022,43349
11/23/2022,44011
11/24/2022,44627
11/25/2022,44460
11/26/2022,41916
11/27/2022,38786
11/28/2022,43681
11/29/2022,44457
11/30/2022,41343
12/1/2022,42466
12/2/2022,42219
12/3/2022,40841
12/4/2022,38237
12/5/2022,41234
12/6/2022,42252
12/7/2022,42120
12/8/2022,40503
12/9/2022,41044
12/10/2022,39341
12/11/2022,37532
12/12/2022,41812
12/13/2022,43038
12/14/2022,43402
12/15/2022,43393
12/16/2022,42765
12/17/2022,41155
12/18/2022,38344
12/19/2022,40811
12/20/2022,41115
12/21/2022,41589
12/22/2022,41220
12/23/2022,39670
12/24/2022,34503
12/25/2022,31102
12/26/2022,33076
12/27/2022,35703
12/28/2022,36982
12/29/2022,37814
12/30/2022,37562
12/31/2022,37922
1/1/2023,34712
1/2/2023,36047
1/3/2023,38033
1/4/2023,37788
1/5/2023,39628
1/6/2023,40302
1/7/2023,37694
1/8/2023,34269
1/9/2023,37286
1/10/2023,37698
1/11/2023,36695
1/12/2023,36333
1/13/2023,36869
1/14/2023,35684
1/15/2023,34564
1/16/2023,39238
1/17/2023,40864
1/18/2023,41174
1/19/2023,41551
1/20/2023,41545
1/21/2023,38751
1/22/2023,35341
1/23/2023,38672
1/24/2023,38918
1/25/2023,39200
1/26/2023,38417
1/27/2023,39499
1/28/2023,37860
1/29/2023,33786
1/30/2023,37827
1/31/2023,39102
2/1/2023,39514
2/2/2023,40706
2/3/2023,40869
2/4/2023,37798
2/5/2023,36027
2/6/2023,40124
2/7/2023,41386
2/8/2023,41377
2/9/2023,41083
2/10/2023,41136
2/11/2023,39838
2/12/2023,37305
2/13/2023,40625
2/14/2023,39593
2/15/2023,38560
2/16/2023,38200
2/17/2023,37824
2/18/2023,36459
2/19/2023,34234
2/20/2023,38946
2/21/2023,40860
2/22/2023,40105
2/23/2023,41631
2/24/2023,41470
2/25/2023,40031
2/26/2023,38167
2/27/2023,39834
2/28/2023,39403
3/1/2023,40503
3/2/2023,38525
3/3/2023,38152
3/4/2023,36935
3/5/2023,34754
3/6/2023,38565
3/7/2023,40315
3/8/2023,41123
3/9/2023,41721
3/10/2023,40878
3/11/2023,38391
3/12/2023,36214
3/13/2023,40197
3/14/2023,41239
3/15/2023,41881
3/16/2023,41697
3/17/2023,42686
3/18/2023,40188
3/19/2023,36666
3/20/2023,41613
3/21/2023,42012
3/22/2023,43175
3/23/2023,44501
3/24/2023,46850
3/25/2023,44045
3/26/2023,40931
3/27/2023,45030
3/28/2023,45764
3/29/2023,44695
3/30/2023,45732
3/31/2023,45002
4/1/2023,43266
4/2/2023,40945
4/3/2023,44569
4/4/2023,44999
