YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,0.1,35.2,23.9
2021,1,2,-1,33.3,24
2021,1,3,0.1,33.8,23.4
2021,1,4,16,32.9,23.5
2021,1,5,0,33,24
2021,1,6,7.7,35,23.9
2021,1,7,0.5,30.3,24.3
2021,1,8,-1,32.9,24
2021,1,9,0,34,23.4
2021,1,10,10.7,35,24.3
2021,1,11,0.4,34,24.1
2021,1,12,1,30.7,23.8
2021,1,13,-1,32.7,24.5
2021,1,14,-1,32,23.6
2021,1,15,-1,32.9,24.4
2021,1,16,2.2,32,23.8
2021,1,17,11,33.4,24.1
2021,1,18,2.5,28.9,23
2021,1,19,0.1,32.8,24
2021,1,20,18.4,31.5,23.4
2021,1,21,13.6,33.9,23.6
2021,1,22,2,30,23.5
2021,1,23,0,33.4,23.7
2021,1,24,0,33,23.6
2021,1,25,0,35.5,24
2021,1,26,0,34,23.7
2021,1,27,0,34.4,23.2
2021,1,28,0,33,25
2021,1,29,0,34,22.6
2021,1,30,1.1,35,25.5
2021,1,31,-1,34.7,24.5
2021,2,1,-1,33,23.5
2021,2,2,-1,33.3,24.4
2021,2,3,0,34.4,23.3
2021,2,4,68.4,34.5,23.4
2021,2,5,0,34.8,23.9
2021,2,6,0,35.4,23.5
2021,2,7,0,34.4,24
2021,2,8,0,34,23.5
2021,2,9,0,33.5,24.3
2021,2,10,-1,34.6,24.6
2021,2,11,0,35,23.2
2021,2,12,0,33.2,23.2
2021,2,13,0,32.5,23.7
2021,2,14,7.2,34.1,23.4
2021,2,15,0,33.3,24.1
2021,2,16,2.8,33,24
2021,2,17,17.9,31.5,23.9
2021,2,18,0,34,24.2
2021,2,19,0,33.6,23.3
2021,2,20,0,32.3,23.2
2021,2,21,-1,32.1,24
2021,2,22,0.4,31,24
2021,2,23,0,33.9,24
2021,2,24,0.4,33.3,23.7
2021,2,25,1.9,31,23.5
2021,2,26,0,34.5,24
2021,2,27,-1,34,23
2021,2,28,0,33.9,24.4
2021,3,1,4.2,35.5,22.8
2021,3,2,0.3,34.9,24.3
2021,3,3,0,35,23.3
2021,3,4,0,35.4,24
2021,3,5,0,35.5,23.3
2021,3,6,0.1,33.1,23.3
2021,3,7,0,35.7,22.5
2021,3,8,0,33.6,22.8
2021,3,9,0.7,36,24.4
2021,3,10,-1,34.6,25
2021,3,11,14.8,30.5,22.6
2021,3,12,14.2,29.5,23.5
2021,3,13,0.4,31.9,23
2021,3,14,0,32.9,23
2021,3,15,10.3,34.2,23.5
2021,3,16,1.1,34.7,24.7
2021,3,17,-1,33.6,23.3
2021,3,18,0,36.2,23.1
2021,3,19,0,34.6,22.6
2021,3,20,3.6,35.7,24.9
2021,3,21,3.7,34,23.8
2021,3,22,0,35.2,24.2
2021,3,23,0,36.1,24.2
2021,3,24,14.8,33.8,23.4
2021,3,25,0,35.2,23
2021,3,26,0,33.5,23.7
2021,3,27,0,34,24.6
2021,3,28,0,35.8,24.5
2021,3,29,0,36,24.3
2021,3,30,14.7,33.6,24.2
2021,3,31,13.5,30,24.4
2021,4,1,1.4,34,24.8
2021,4,2,5,33.6,25
2021,4,3,0,34.5,24.5
2021,4,4,0,34.4,24.5
2021,4,5,0,35.3,24.3
2021,4,6,-1,35.7,24.4
2021,4,7,0,35.4,24.8
2021,4,8,2,34,23.6
2021,4,9,0,33.2,24
2021,4,10,0.2,33.5,24
2021,4,11,3.2,34.1,23
2021,4,12,0.1,34.5,22.9
2021,4,13,0,35.4,23.9
2021,4,14,0.1,34.2,24.6
2021,4,15,13.3,33.8,23.5
2021,4,16,0.4,32.8,24.3
2021,4,17,4.5,31,23.8
2021,4,18,9.3,32.9,25
2021,4,19,1.7,33.8,26.3
2021,4,20,3.1,33.8,25.5
2021,4,21,0.3,33.6,23.2
2021,4,22,0,34,22.5
2021,4,23,0,34,22.9
2021,4,24,0,34.8,24
2021,4,25,0,34.3,24
2021,4,26,0,34,23.5
2021,4,27,0.7,34,23.8
2021,4,28,0.4,34.1,23.7
2021,4,29,0,34.1,23.6
2021,4,30,-1,35.6,24
2021,5,1,1.9,33.2,24.6
2021,5,2,1.5,33,24.5
2021,5,3,0,34.9,24.6
2021,5,4,0,35.9,25.1
2021,5,5,0,36.6,24.5
2021,5,6,1.2,36.3,24.3
2021,5,7,4.8,35.3,24
2021,5,8,5.2,33.9,24.8
2021,5,9,0,33.4,24
2021,5,10,4.4,31.3,24.5
2021,5,11,9.9,32.4,24.8
